SED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED52903,177,642,164,353,52,1538,221,159,706,322,454,85,1947,18,3,48,25,71,13,180,24,13,53,51,226,17,387,23,3,61,32,174,115,409,682,497,2632,1472,3821,521,9623
SED53004,328,910,266,347,28,2142,247,167,1013,433,475,88,2423,17,4,89,47,84,3,246,35,20,95,103,372,6,636,29,6,137,69,220,52,525,1247,825,4922,2609,5353,439,15390
SED53105,147,541,205,360,32,1474,202,163,1036,511,789,84,2780,13,4,56,42,91,6,221,14,13,94,133,450,11,714,44,18,144,113,355,88,762,1108,538,4209,2674,6977,607,16111
SED53204,188,767,228,340,41,1760,260,158,1072,532,689,82,2792,11,8,73,37,93,7,235,23,18,111,140,497,34,826,53,12,161,101,297,91,710,1321,636,5240,3064,6366,635,17256
SED53306,148,482,182,351,31,1287,124,93,591,407,787,64,2067,5,0,17,18,61,6,117,7,4,44,83,346,16,502,13,11,63,69,256,54,463,494,380,2244,1976,6159,459,11712
SED53402,307,911,194,217,21,2051,461,215,1291,420,455,83,2926,52,21,183,63,90,12,428,42,12,156,126,324,11,678,76,22,239,95,158,73,669,2539,1149,7543,2774,4132,498,18634
SED53502,185,597,195,305,39,1498,210,148,832,533,725,96,2551,15,7,43,30,103,10,212,19,15,90,112,512,22,768,24,6,112,104,294,104,635,975,610,3582,2610,6726,583,15079
SED53602,105,307,154,281,38,974,201,89,731,475,823,88,2407,19,5,51,43,65,9,189,27,4,100,110,397,28,667,32,6,133,106,319,128,724,915,353,3252,2179,5126,657,12481
SED53701,136,421,126,302,36,1072,57,51,318,232,320,45,1021,4,0,26,17,27,9,90,6,3,22,38,301,20,390,6,0,36,41,223,74,393,307,316,1907,1602,5176,599,9907
SED53802,211,646,176,237,34,1551,305,150,1062,489,560,87,2655,16,3,77,68,70,7,238,39,13,151,155,436,35,831,76,14,217,105,230,89,727,1691,667,5347,2842,4861,595,16003
SED53902,266,824,176,171,26,1819,491,201,1281,410,371,64,2820,37,18,175,60,71,6,360,44,19,142,132,281,17,645,67,19,219,103,129,74,615,2414,999,7326,2538,3510,506,17296
SED54006,151,437,185,369,32,1240,72,54,440,312,652,50,1584,7,4,26,26,77,3,137,17,5,39,61,369,20,504,4,0,45,39,250,63,398,297,316,1871,1710,6929,535,11662
SED54104,256,875,138,110,47,2368,1280,287,2182,320,189,104,4364,58,18,159,33,60,4,338,76,15,142,65,123,11,429,189,30,356,76,61,67,779,5213,1285,9604,1807,1817,472,20198
SED54203,66,296,63,152,21,646,41,37,185,89,139,16,503,10,0,23,9,32,3,77,5,4,18,25,118,8,186,11,6,35,21,138,61,267,284,173,1360,915,3528,338,6604
SED54304,323,933,166,159,29,2232,893,276,1878,385,351,75,3864,86,25,265,117,76,20,585,81,25,223,129,278,13,761,154,34,399,130,141,103,963,4860,1510,11875,3436,4077,702,26454
