SOSR_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOSR501,3445,5811,7119,6139,21759,32158,12776,30970,804,120974,10604,24326,25555,20068,50406,62676,18005,32952,1535,246123,6166,10450,10563,8047,29585,37490,12516,31969,2209,148990,5765,31701,25056,14213,18891,14187,4051,7749,1765,123372,5052,17607,18410,11215,34424,25602,6065,8613,932,127920,2842,28890,15215,6334,11574,8867,2484,4482,881,81572,4177,5962,5531,3608,12252,12128,5477,19780,1418,70332,3702,24912,14309,7151,12644,11106,3347,9761,1585,88524,759,1683,1177,784,2608,2689,708,1978,4489,16875,42518,151333,122938,77567,194134,206899,65423,148248,15614,1024680
SOSR511,108,136,175,149,508,712,356,867,15,3023,291,622,655,575,1079,1272,419,749,28,5683,355,405,341,260,1048,1587,604,1767,84,6448,229,936,917,592,682,421,117,259,58,4208,191,592,618,394,1020,677,151,303,26,3979,149,1059,561,310,467,299,102,158,29,3131,271,206,201,121,396,639,372,1283,61,3555,223,1077,556,347,669,620,258,594,72,4415,36,48,27,23,72,94,32,92,130,553,1848,5086,4053,2766,5948,6323,2410,6069,496,34998
SOSR512,215,308,320,272,863,1294,551,1673,48,5538,486,929,923,840,1687,1931,755,1441,54,9043,483,583,587,479,1558,2216,1038,3064,152,10153,351,1463,1280,925,1155,999,296,543,102,7132,295,881,844,625,1543,1085,294,466,44,6074,204,1570,883,461,849,546,179,272,45,5015,427,374,326,198,464,732,580,2524,108,5732,289,1737,1016,573,810,783,305,799,130,6442,70,82,58,30,103,114,41,131,218,859,2821,7922,6237,4401,9025,9702,4036,10918,911,55980
SOSR513,144,145,160,148,589,799,382,1239,35,3650,374,355,417,411,1077,1288,414,893,45,5275,396,318,266,218,795,1378,716,2473,137,6712,237,620,495,402,698,612,179,355,63,3668,182,415,455,324,997,805,258,462,36,3933,103,648,307,186,416,300,99,194,33,2299,279,181,134,91,321,419,346,1596,76,3428,172,655,432,240,410,469,189,737,76,3374,42,55,28,22,67,118,44,170,206,761,1921,3394,2698,2041,5375,6193,2626,8125,721,33096
SOSR514,69,109,108,115,206,317,135,340,9,1405,139,249,222,200,307,367,138,246,13,1890,167,165,175,135,409,605,192,509,42,2397,103,393,337,199,193,171,54,106,26,1579,66,254,233,117,241,164,35,52,7,1189,51,356,223,112,161,136,27,45,16,1135,89,65,65,42,93,242,105,334,14,1060,95,443,282,147,240,261,63,182,37,1754,13,30,12,10,23,25,11,34,55,208,792,2063,1669,1085,1876,2299,762,1851,221,12611
SOSR515,190,257,227,206,598,917,372,1259,60,4076,334,532,547,496,1023,1193,421,885,53,5486,467,467,451,368,1109,1662,736,2268,130,7664,290,946,836,576,751,745,205,423,78,4846,251,654,616,386,983,766,215,331,36,4235,130,830,497,269,434,367,129,186,47,2896,462,286,253,131,536,594,436,2123,102,4925,286,1203,703,463,875,867,265,755,159,5578,66,76,38,48,89,114,43,149,237,856,2466,5254,4177,2932,6389,7226,2827,8387,906,40565
SOSR521,108,115,101,102,198,361,183,622,30,1823,107,201,170,142,319,440,135,352,24,1888,141,186,179,122,352,501,252,748,62,2544,127,325,282,204,260,281,75,172,45,1784,90,252,246,124,306,271,78,133,23,1522,47,266,152,92,138,112,35,88,15,942,173,148,103,44,194,270,148,820,55,1964,126,492,305,149,268,317,110,278,71,2116,37,29,17,3,30,38,18,46,121,335,961,2009,1561,989,2067,2601,1038,3255,442,14926
SOSR522,68,72,62,56,138,208,97,403,9,1099,60,94,112,80,140,248,70,182,11,1006,63,87,85,83,179,257,94,340,28,1210,78,169,168,121,170,149,39,85,22,1009,48,142,111,76,153,133,41,53,6,761,22,89,82,31,56,69,28,49,12,440,72,71,55,35,117,145,81,341,18,936,45,225,150,105,123,179,63,140,24,1055,19,21,10,7,14,22,0,17,87,206,477,963,833,598,1094,1416,518,1607,216,7723
SOSR531,743,1338,1380,992,1336,3260,1397,8213,332,18991,704,1355,1303,930,1474,1994,711,1770,81,10329,779,973,857,661,1652,2505,989,4261,223,12899,438,1597,1250,734,821,780,237,545,107,6510,370,1582,1356,793,1410,1216,298,735,80,7848,197,1350,737,351,494,455,144,369,72,4167,765,548,472,255,671,1038,560,3742,170,8214,460,2032,1083,684,1012,1289,540,1995,228,9320,128,134,102,75,125,173,51,256,468,1511,4595,10898,8540,5471,8991,12716,4920,21891,1763,79789
SOSR579,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,29,0,33,4,3,0,0,0,4,0,67,0,83,0,0,0,0,0,0,0,4,0,9,0,0,0,0,5,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,31,3,8,0,0,0,0,4,76,5,98,0,0,0,0,0,0,0,7,0,6,13,14,5,3,5,5,11,220,5,277
SOSR599,21,16,5,4,20,25,6,17,5,107,42,42,31,15,25,49,15,24,3,257,30,20,21,16,33,38,13,98,5,272,11,42,44,18,34,24,7,27,5,223,24,27,8,13,27,32,7,12,4,150,9,17,13,3,10,13,0,4,0,77,25,16,7,13,7,20,10,104,6,213,18,35,30,22,48,48,14,80,3,292,0,3,0,0,6,0,3,8,5,33,181,208,163,110,217,250,70,370,33,1614
SOSR603,342,649,838,772,2643,2739,1080,2315,79,11452,1140,2615,3078,2647,6061,4478,1438,2318,131,23906,328,896,1201,862,3265,3341,626,940,159,11618,703,3241,2957,1838,2261,1233,420,668,222,13539,579,1474,1769,1302,4184,1757,470,589,73,12205,345,2773,1567,633,1415,677,233,276,96,8022,183,451,461,265,881,833,330,498,72,3979,310,2495,1564,706,1486,1024,298,412,140,8428,82,193,162,91,346,223,60,122,380,1668,4015,14787,13598,9125,22546,16299,4954,8142,1357,94821
SOSR611,113,218,249,239,857,1046,439,924,18,4113,365,777,966,839,1869,1656,500,917,41,7934,150,396,408,323,1310,1356,379,468,57,4839,298,1265,1219,739,916,561,164,273,73,5499,194,511,670,494,1339,711,170,240,27,4354,166,1218,657,333,630,385,132,162,44,3728,100,245,283,179,595,494,189,359,45,2491,160,1165,769,429,858,463,117,186,73,4218,42,65,49,48,105,90,32,43,154,635,1584,5871,5270,3626,8486,6758,2118,3577,524,37810
SOSR612,63,95,100,82,348,426,178,408,24,1722,129,295,313,319,677,611,204,291,12,2853,115,177,190,163,693,818,199,360,31,2750,172,587,642,422,444,298,82,195,42,2890,91,276,330,216,613,314,79,117,11,2053,80,745,334,175,338,184,65,63,30,2017,88,120,112,72,279,286,127,414,30,1529,133,681,406,276,551,403,100,156,46,2752,20,35,22,23,45,43,15,34,91,327,901,3008,2442,1735,3995,3397,1054,2045,317,18895
SOSR613,16,40,33,36,102,143,44,98,5,518,51,84,117,95,181,146,44,80,9,812,28,59,50,57,186,220,57,99,16,770,54,186,196,115,103,69,16,33,13,784,19,86,75,64,158,90,26,24,3,548,23,168,93,47,74,47,21,18,3,485,29,51,30,20,81,84,50,74,12,420,33,184,104,51,123,103,37,30,12,685,8,9,4,9,12,12,6,8,28,94,273,864,700,490,1016,908,311,473,100,5122
SOSR614,34,42,44,50,151,164,54,134,8,690,46,100,127,116,222,177,48,79,10,928,43,86,100,85,329,383,81,117,11,1232,73,221,290,160,163,80,34,58,9,1097,47,94,122,84,270,136,23,30,5,808,40,216,99,57,100,53,17,24,8,618,27,21,26,18,117,138,64,112,3,539,56,178,129,67,153,152,37,69,22,858,6,16,8,13,25,22,4,15,33,142,381,974,946,652,1531,1299,360,637,129,6913
SOSR615,98,162,211,129,607,754,302,719,28,3015,228,435,499,426,957,796,229,406,31,3992,135,342,304,263,1059,1176,311,527,73,4188,245,839,857,518,587,313,136,187,58,3742,178,456,533,320,888,438,112,148,30,3100,119,762,447,229,448,258,102,92,33,2495,168,149,185,119,471,451,254,504,44,2336,190,916,453,291,677,516,162,266,62,3530,43,54,43,35,97,63,21,46,122,521,1405,4117,3530,2332,5777,4763,1615,2893,480,26908
SOSR621,58,83,111,79,204,283,100,284,11,1206,110,210,232,204,300,296,104,166,14,1640,45,130,143,110,331,398,88,199,32,1478,87,298,233,145,145,120,26,69,19,1151,53,183,192,127,262,132,40,50,3,1042,40,233,150,74,119,79,21,34,12,764,37,51,41,30,133,148,73,179,17,710,103,340,163,112,214,220,53,102,28,1333,26,20,21,10,29,36,10,19,45,202,563,1542,1290,894,1729,1705,513,1093,192,9520
SOSR622,20,32,36,25,69,128,40,104,12,471,27,82,82,58,108,113,35,70,12,594,21,61,58,50,132,151,44,77,17,610,40,123,118,53,60,20,12,23,9,460,20,70,78,39,102,71,13,22,5,414,12,97,38,39,47,21,6,22,4,284,13,18,23,15,62,69,34,90,5,340,25,134,86,37,67,74,12,47,15,499,8,11,11,3,12,10,6,8,21,85,199,633,540,317,663,660,196,452,98,3760
SOSR631,312,749,695,609,1200,1916,701,2860,143,9188,490,1119,1263,935,1528,1445,455,911,74,8211,317,704,697,533,1785,2229,527,1014,141,7948,416,1338,1287,693,756,474,167,266,77,5479,274,948,939,621,1281,694,157,277,43,5224,173,1068,647,315,519,334,108,168,58,3406,231,293,313,193,639,812,398,872,99,3850,381,1510,887,565,1010,979,293,542,158,6313,68,131,87,51,131,143,39,118,265,1033,2667,7866,6808,4520,8841,9020,2849,7018,1060,50648
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12
SOSR699,3,5,0,0,5,6,0,0,0,24,8,7,8,7,10,7,4,0,0,50,6,5,8,0,10,16,7,0,0,48,5,12,8,3,0,3,0,0,0,39,0,4,7,4,6,0,0,0,0,27,0,9,8,0,3,0,0,0,0,21,0,5,0,0,9,9,4,5,0,37,3,13,9,6,9,9,0,4,0,50,0,0,0,0,4,3,0,0,6,11,26,48,49,24,56,56,18,23,10,309
SOSR703,341,236,283,349,1820,2115,835,2253,60,8280,819,936,1011,1087,4130,3769,1024,1970,122,14866,352,429,519,436,2194,2504,724,1588,163,8906,481,1236,1260,882,2114,2050,663,1151,185,10020,457,647,730,662,3369,1893,503,755,100,9119,176,1190,835,424,964,560,154,303,51,4654,194,209,329,181,605,647,259,801,50,3284,157,997,800,451,967,736,191,566,111,4979,73,73,77,55,257,213,26,117,342,1228,3052,5959,5842,4532,16408,14488,4387,9502,1183,65347
SOSR712,65,44,52,66,407,399,184,359,14,1594,195,201,226,280,954,865,231,390,25,3368,52,84,68,76,423,480,155,267,18,1627,121,230,199,183,685,399,147,339,32,2353,84,120,133,95,676,322,74,125,16,1650,30,191,112,61,188,118,42,72,6,817,14,22,32,23,113,111,39,98,8,468,38,163,104,66,214,174,40,109,25,926,17,20,14,10,75,83,24,31,82,350,624,1082,937,861,3745,2943,931,1796,227,13148
SOSR714,13,4,10,6,95,61,30,80,3,308,27,24,36,36,184,127,31,89,12,556,15,20,23,10,75,103,29,87,0,371,35,38,48,41,153,97,43,83,18,549,15,21,22,19,145,60,12,32,5,330,0,27,23,3,37,28,12,15,5,157,3,12,10,3,19,24,7,32,0,115,11,17,23,10,65,38,6,40,3,225,0,9,0,8,24,8,0,8,30,83,132,173,196,140,793,544,174,467,76,2698
SOSR715,25,17,9,8,142,111,56,137,8,513,86,93,65,91,300,282,69,145,18,1165,24,37,19,24,118,122,98,97,8,555,48,102,79,71,257,153,30,109,20,874,31,42,43,34,189,99,22,45,13,521,3,54,31,13,48,38,7,21,13,226,10,20,14,7,40,33,52,52,8,230,15,62,38,41,69,89,21,35,10,371,26,4,5,0,19,7,0,13,105,182,261,431,305,298,1180,940,363,659,204,4632
SOSR721,12,18,19,10,93,125,52,144,5,470,51,51,69,33,189,185,51,118,15,758,31,26,33,20,82,123,31,112,7,464,38,96,82,79,207,143,41,77,5,772,20,31,23,31,111,87,19,25,10,357,3,39,31,17,33,34,4,3,6,175,12,9,16,8,27,51,10,72,8,209,14,45,37,23,83,76,14,41,9,340,19,9,4,0,8,3,0,7,44,93,208,323,314,234,825,830,216,598,106,3650
SOSR722,25,14,12,16,82,50,27,112,3,337,35,71,67,39,165,122,29,100,17,638,11,24,30,20,41,46,8,47,7,235,22,80,100,79,133,59,12,59,19,574,12,21,25,17,77,37,11,30,4,240,8,35,37,14,30,15,4,6,3,155,0,17,15,9,23,25,0,37,3,118,19,58,46,33,91,52,8,37,10,345,11,4,3,3,3,0,0,0,62,89,148,331,331,229,636,405,97,416,132,2728
SOSR731,92,88,79,83,345,459,190,900,41,2286,162,157,160,165,491,458,144,336,28,2104,136,121,139,121,483,644,186,665,51,2543,110,208,200,139,340,288,112,167,34,1602,96,153,186,129,576,396,96,178,25,1829,35,201,97,61,130,103,33,58,8,729,92,71,54,40,122,159,81,447,25,1093,46,271,147,107,298,244,84,525,41,1764,20,21,5,9,39,52,8,56,106,317,798,1297,1071,858,2823,2797,943,3325,363,14269
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,0,18,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,0,0,0,0,0,13,3,26,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,42,3,56
SOSR799,15,5,3,3,3,11,3,6,0,54,28,16,7,8,18,17,6,9,3,107,8,5,3,0,8,6,0,19,3,49,12,3,6,4,13,15,4,3,4,62,12,7,9,3,4,5,0,5,0,46,6,3,0,5,0,3,3,3,0,19,0,0,0,0,0,0,5,13,3,31,9,18,7,8,25,13,5,23,8,107,0,3,0,0,3,0,0,0,13,22,92,62,38,34,83,59,22,82,27,500
SOSR802,2011,1445,2164,2393,10141,12331,4883,8616,187,44172,3313,5846,6150,5341,22370,21252,5202,8113,379,77965,812,1750,1905,1399,6068,6962,1845,2712,303,23759,1448,6950,4698,2608,4960,3270,1099,1722,305,27051,1648,3373,3843,2658,13473,7323,1655,1844,231,36048,714,5483,2708,1029,2444,1464,457,747,112,15159,254,739,722,391,1090,1215,502,968,121,5994,519,3431,2243,829,2035,1839,423,788,205,12315,226,401,363,274,1330,1099,240,530,781,5253,10950,29416,24781,16911,63919,56757,16302,26038,2631,247706
SOSR822,5,6,4,5,12,16,7,12,0,62,5,11,10,16,14,25,7,11,0,96,5,0,3,0,3,23,5,3,0,42,0,9,4,4,6,4,0,3,0,29,0,6,10,6,17,9,3,0,0,46,0,3,6,0,0,5,0,0,0,13,0,0,0,0,3,3,0,0,0,13,0,5,4,0,0,9,0,0,0,21,0,0,0,3,4,0,0,0,5,10,20,41,37,30,62,87,21,34,7,335
SOSR831,3,4,4,8,13,21,4,71,0,132,0,5,7,3,11,10,3,11,0,58,0,3,0,0,11,17,4,11,0,49,5,0,0,3,0,3,0,11,0,29,4,3,7,4,8,11,0,5,0,37,0,4,6,0,4,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,6,0,4,4,7,4,0,0,30,0,0,0,0,0,0,0,3,0,6,20,31,24,26,42,64,21,122,0,352
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,8,0,6,3,4,9,0,12,0,28,0,7,8,4,16,13,3,4,0,51,5,3,0,0,5,4,5,3,0,25,0,10,5,3,4,7,0,4,0,30,3,4,0,4,14,0,0,0,0,27,0,17,3,0,0,0,0,0,0,21,0,0,3,4,0,0,0,0,0,5,3,5,4,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,16,45,20,12,45,33,12,25,3,216
SOSR915,4,5,0,0,25,25,13,19,4,90,3,3,4,8,30,26,8,6,0,91,10,7,0,8,36,23,11,27,5,124,3,30,16,5,12,19,3,22,0,108,0,16,5,0,30,15,3,6,7,82,0,3,3,0,0,0,0,3,0,10,5,6,0,0,13,11,10,21,0,71,5,24,6,4,27,17,0,7,3,90,0,4,0,0,3,0,0,0,10,18,27,97,39,30,171,139,45,110,25,686
SOSR921,9,12,13,15,27,36,14,28,0,146,9,11,9,5,17,28,13,11,0,111,8,13,16,11,63,27,12,17,3,171,9,36,28,18,18,19,0,0,3,138,12,11,13,20,36,29,4,5,0,125,8,24,18,10,23,7,0,0,0,95,3,4,3,3,7,10,0,0,0,36,10,24,15,8,22,10,5,4,0,92,5,0,4,0,0,3,0,0,0,19,76,142,113,96,213,167,44,73,7,939
SOSR922,3,0,0,3,14,18,8,23,0,64,3,3,9,0,8,13,3,8,0,54,0,9,4,0,3,10,3,9,0,42,0,11,8,11,6,0,0,12,0,50,0,3,0,0,6,8,0,11,0,28,0,4,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,6,0,11,0,12,0,3,5,10,0,14,0,44,0,0,0,0,0,0,0,0,0,0,8,50,25,21,49,57,15,74,4,299
SOSR931,4,0,6,5,11,12,4,3,3,50,0,5,8,5,8,3,3,9,0,39,4,4,0,3,23,4,0,7,0,53,3,12,3,5,3,5,0,4,0,38,4,6,5,7,13,5,3,4,0,42,4,5,4,0,11,0,0,0,0,20,3,0,4,0,3,0,0,4,0,21,0,8,0,4,16,8,0,0,0,42,0,0,0,0,0,0,0,0,3,10,21,50,31,32,94,48,11,26,8,329
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
