SOSR_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOSR322,77,16,206,92,76,69,60,101,6,700,0,0,0,4,3,0,0,4,0,13,17,22,25,15,12,7,28,16,5,145,48,47,79,71,50,43,74,102,90,600,1276,1976,1918,1477,1017,454,762,972,251,10114
SOSR331,1103,198,1804,1067,931,601,485,1012,112,7308,12,9,10,25,13,26,12,39,3,153,360,261,247,206,191,97,219,186,89,1856,894,266,830,440,407,348,600,921,746,5458,24238,26457,24068,14118,13857,5515,8144,10926,2542,129867
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,11,0,24
SOSR399,11,4,29,26,9,16,14,43,0,146,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,10,4,3,34,5,4,15,7,4,3,9,29,22,99,210,448,278,310,181,120,161,430,60,2209
SOSR401,2391,658,7662,3325,2471,1936,991,2202,232,21876,36,45,28,74,74,47,34,77,14,435,803,1129,707,986,859,363,621,668,218,6365,854,804,1260,1072,906,593,743,1073,1472,8781,53745,134394,57055,58444,50426,21428,15320,23361,6455,420626
SOSR412,197,53,611,316,192,198,122,206,26,1901,3,0,5,3,4,3,0,13,0,29,42,55,61,52,32,15,47,33,9,354,69,41,136,94,52,68,79,108,107,761,3386,6974,5230,4653,3173,1639,1631,1780,402,28862
SOSR413,153,35,464,248,115,150,66,186,17,1433,0,0,0,4,0,0,0,11,0,17,26,44,33,62,29,11,24,38,5,290,62,49,116,114,49,53,84,161,76,750,3003,6679,3561,3953,2274,1266,947,1678,327,23678
SOSR414,83,18,231,89,57,51,21,101,5,650,0,0,0,0,0,0,3,6,0,12,16,17,14,19,17,9,8,20,0,122,25,11,36,37,11,20,21,63,39,266,1017,1827,1486,1275,966,506,402,785,116,8388
SOSR415,260,53,770,327,215,214,120,286,31,2268,0,5,0,0,0,0,0,7,0,15,61,52,59,60,46,27,52,61,12,435,116,50,165,127,87,83,105,189,141,1067,4102,6823,5778,4712,3250,1680,1501,2695,526,31061
SOSR421,76,9,177,84,60,43,27,76,4,557,0,0,0,0,0,0,0,0,0,7,17,14,13,15,12,3,16,12,3,100,38,21,59,39,34,18,37,81,34,342,1218,1751,1611,1215,894,444,477,769,152,8530
SOSR422,39,6,84,55,28,21,10,41,5,292,0,0,0,6,0,0,0,3,0,5,6,8,8,13,8,8,10,14,3,66,23,23,29,31,16,16,24,54,23,233,609,813,824,694,434,207,245,492,82,4396
