SOSR_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SOSR179,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,13,0,14,..,10,3,14,0,16,..,12,4,11,0,11,..,25,16,39,0,39,..,171,32,203,4,205,..,966,159,1125,25,1150,..,35,6,40,3764,3803,6417,1003,162,1166,3781,11371
SOSR201,2235,31756,359,32118,..,9825,2104,11932,83,12018,..,26000,6303,32299,228,32525,..,78996,34287,113287,833,114119,..,184519,39066,223580,3996,227574,..,1360103,257270,1617374,15776,1633150,..,22251,5188,27441,190048,217490,2734902,1382354,262462,1644813,205824,4585537
SOSR203,44,649,8,658,..,435,97,532,6,535,..,256,54,308,0,308,..,753,231,989,11,1002,..,6905,2208,9113,184,9299,..,34898,5753,40657,511,41166,..,1145,187,1328,17927,19260,325808,36043,5939,41983,18440,386231
SOSR211,50,426,8,429,..,153,31,184,0,184,..,285,38,327,5,329,..,657,350,1009,3,1015,..,5462,1313,6777,135,6912,..,23454,3724,27171,400,27575,..,637,161,798,6609,7411,79209,24094,3880,27975,7005,114187
SOSR212,38,371,0,370,..,337,121,464,0,468,..,590,249,843,8,851,..,515,306,818,17,842,..,4549,1241,5783,140,5926,..,22826,5000,27825,431,28256,..,809,130,934,13828,14765,221516,23638,5128,28759,14258,264540
SOSR213,25,257,8,259,..,263,71,332,4,335,..,177,27,206,0,202,..,423,191,620,10,626,..,2798,578,3378,100,3478,..,15585,2438,18020,249,18274,..,731,107,838,13599,14438,217698,16320,2545,18862,13854,250413
SOSR214,5,79,0,79,..,181,30,208,0,208,..,60,8,64,0,64,..,137,49,190,0,192,..,1307,165,1477,45,1517,..,7896,1194,9087,146,9232,..,409,25,438,8418,8857,127101,8310,1220,9528,8565,145199
SOSR215,7,92,0,93,..,239,68,302,4,309,..,147,27,177,0,177,..,210,226,436,20,453,..,2020,422,2442,57,2491,..,9240,1654,10895,170,11065,..,551,51,605,13645,14250,199372,9789,1708,11498,13816,224681
SOSR221,0,10,0,10,..,54,17,78,3,74,..,22,11,27,0,27,..,44,22,60,0,60,..,474,68,542,12,552,..,1996,260,2257,30,2290,..,139,16,151,3830,3979,55356,2134,272,2408,3859,61615
SOSR222,0,3,0,3,..,32,6,41,3,41,..,12,0,10,0,10,..,14,3,22,0,24,..,255,40,296,3,304,..,1146,142,1288,21,1315,..,78,3,80,2492,2576,29166,1226,145,1370,2515,33052
SOSR231,13,95,0,98,..,357,167,521,11,529,..,281,43,321,0,321,..,298,128,425,3,428,..,3316,424,3740,65,3800,..,15944,2318,18261,230,18488,..,839,81,921,34317,35235,375179,16786,2398,19180,34543,428903
SOSR279,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,27,27,13,5,0,5,27,38
SOSR299,0,6,0,6,..,7,0,7,0,7,..,25,13,32,0,35,..,32,14,42,0,42,..,187,40,227,6,229,..,794,171,962,15,977,..,37,7,45,3575,3624,4485,834,179,1012,3592,9089
SOSR301,324,5532,60,5595,..,4282,964,5251,48,5297,..,1460,219,1683,20,1702,..,18418,7543,25957,196,26156,..,58009,11148,69157,1412,70571,..,372230,59648,431879,4726,436611,..,9230,1540,10766,99095,109864,1741424,381457,61186,442649,103827,2287896
SOSR302,15,509,3,512,..,1964,324,2278,12,2294,..,629,101,733,4,738,..,1623,350,1975,17,1991,..,12736,1427,14163,282,14449,..,91486,11416,102899,1063,103960,..,3118,365,3479,47485,50965,736868,94604,11778,106380,48550,891797
SOSR303,20,493,3,497,..,784,154,943,5,945,..,80,14,96,0,99,..,768,218,986,13,993,..,12636,2875,15509,287,15801,..,43266,6714,49981,632,50614,..,2376,382,2761,31004,33764,350925,45644,7095,52735,31642,435301
SOSR311,49,311,6,311,..,383,128,510,3,510,..,72,24,95,0,95,..,468,252,717,9,722,..,2832,410,3238,80,3321,..,14744,2077,16818,226,17049,..,852,123,974,16686,17656,218991,15600,2198,17796,16917,253701
SOSR312,13,132,0,136,..,140,30,177,0,178,..,23,0,25,0,25,..,69,21,91,3,97,..,887,120,1010,28,1033,..,4662,463,5123,83,5204,..,273,22,295,5335,5633,87634,4933,484,5417,5419,98469
SOSR313,4,85,4,90,..,187,36,227,0,227,..,21,4,30,0,30,..,146,57,203,0,203,..,2016,195,2218,65,2277,..,8540,882,9428,147,9571,..,535,54,589,10402,10995,141698,9074,940,10013,10551,162262
SOSR314,10,73,0,73,..,218,36,250,0,256,..,35,10,42,0,42,..,172,66,237,9,247,..,2400,441,2843,85,2922,..,10206,1814,12016,188,12207,..,574,39,617,13149,13765,141140,10784,1850,12632,13334,167109
SOSR315,3,46,0,46,..,252,55,300,0,304,..,15,0,15,0,15,..,195,131,325,0,329,..,7263,847,8115,216,8326,..,14926,1822,16748,329,17073,..,933,88,1020,20980,21994,216445,15858,1909,17762,21303,255514
SOSR321,0,15,0,15,..,85,10,98,0,97,..,9,0,10,0,10,..,54,9,63,0,64,..,2811,332,3144,111,3257,..,4979,514,5493,156,5645,..,343,40,389,8129,8515,83194,5328,549,5880,8283,97351
SOSR322,0,0,0,0,..,42,11,53,0,53,..,0,0,0,0,0,..,5,4,11,0,11,..,3461,670,4130,147,4278,..,4316,766,5085,161,5245,..,159,46,210,3626,3830,34224,4479,819,5289,3784,43299
SOSR331,4,58,0,59,..,360,120,475,5,484,..,33,5,38,0,40,..,321,213,527,12,542,..,4960,624,5580,137,5715,..,15413,1815,17228,265,17493,..,926,89,1020,41398,42413,388665,16347,1904,18254,41660,448574
SOSR379,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,21,0,22,..,0,0,0,128,128,32,19,0,21,130,183
SOSR399,0,0,0,0,..,13,3,18,0,18,..,5,0,5,0,5,..,21,5,23,0,23,..,272,31,300,7,316,..,1031,135,1163,19,1184,..,56,4,62,3455,3517,9972,1085,140,1226,3475,14670
SOSR401,149,3098,26,3123,..,1601,340,1943,19,1966,..,595,80,673,9,678,..,14521,5965,20483,121,20609,..,34680,8805,43485,865,44350,..,242483,42866,285351,2862,288213,..,4910,962,5874,41657,47531,909273,247394,43829,291223,44516,1245011
SOSR412,0,76,3,79,..,70,9,76,0,79,..,12,3,10,0,10,..,71,24,95,0,97,..,1103,358,1461,36,1498,..,4963,674,5633,87,5721,..,289,28,319,4289,4608,87393,5258,703,5960,4374,97725
SOSR413,0,45,0,44,..,57,10,64,0,64,..,35,14,50,0,50,..,133,51,188,0,188,..,1092,154,1251,19,1270,..,4553,597,5147,67,5209,..,333,14,350,5489,5841,79796,4884,613,5500,5554,90848
SOSR414,0,4,0,4,..,47,12,59,0,59,..,9,0,4,0,4,..,48,14,55,0,55,..,346,138,489,17,501,..,1249,312,1558,31,1587,..,74,11,87,1336,1423,28686,1326,320,1648,1367,31700
SOSR415,0,54,0,52,..,83,23,109,0,112,..,23,11,36,0,38,..,191,92,279,0,278,..,917,243,1158,28,1189,..,5156,913,6073,104,6174,..,280,21,301,6496,6793,103383,5431,933,6367,6596,116347
SOSR421,0,0,0,0,..,9,7,18,0,18,..,3,0,3,0,3,..,19,4,19,0,19,..,589,117,704,20,728,..,1225,175,1399,29,1431,..,88,15,105,2129,2232,28368,1316,185,1503,2160,32033
SOSR422,0,4,0,4,..,14,0,15,0,15,..,0,0,0,0,0,..,7,0,7,0,7,..,1242,146,1387,61,1454,..,1532,159,1691,67,1756,..,77,9,84,1388,1474,15829,1607,165,1778,1456,19066
SOSR431,4,32,0,32,..,105,17,125,4,126,..,62,10,74,0,74,..,317,263,579,7,585,..,1472,172,1642,112,1756,..,5703,1009,6704,173,6880,..,263,27,293,10284,10572,127949,5963,1034,6994,10456,145402
SOSR479,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,5,5,0,8,0,8,5,12
SOSR499,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,8,0,8,..,85,10,92,11,105,..,270,33,302,11,314,..,32,6,32,770,806,2261,300,34,334,777,3377
SOSR501,564,8333,95,8422,..,5376,909,6284,45,6327,..,1559,365,1925,11,1937,..,15077,6240,21316,158,21475,..,62480,9917,72397,1385,73779,..,379363,53747,433111,4659,437765,..,9585,1373,10962,90703,101668,1504326,388953,55123,444076,95360,2043762
SOSR511,0,48,0,48,..,105,18,117,0,117,..,6,0,6,0,6,..,86,45,130,0,129,..,936,109,1047,31,1082,..,5635,619,6255,80,6335,..,238,20,257,4215,4471,64393,5873,635,6513,4292,75196
SOSR512,0,97,5,100,..,314,48,363,0,359,..,19,0,23,0,23,..,213,83,293,4,297,..,2016,304,2320,55,2375,..,8908,933,9837,128,9968,..,525,57,580,9054,9631,100551,9429,991,10419,9181,120142
SOSR513,4,63,0,63,..,315,30,349,6,351,..,22,3,21,0,27,..,118,25,139,0,139,..,1762,121,1885,45,1929,..,6694,500,7191,100,7292,..,563,45,607,8334,8939,51958,7256,538,7796,8438,68192
SOSR514,0,13,0,13,..,37,10,46,0,46,..,0,0,0,0,0,..,26,13,39,0,39,..,251,77,334,6,332,..,1632,220,1849,23,1875,..,95,6,98,2235,2334,24263,1725,225,1948,2260,28471
SOSR515,0,48,0,49,..,189,45,232,0,240,..,4,0,4,0,4,..,114,54,164,0,164,..,2298,353,2645,59,2710,..,6635,828,7463,137,7598,..,435,161,603,9703,10306,74624,7068,995,8061,9837,92523
SOSR521,0,11,0,11,..,63,11,75,0,73,..,0,0,0,0,0,..,43,11,54,0,54,..,1615,129,1747,54,1799,..,2983,264,3249,86,3333,..,173,14,185,4040,4225,30363,3153,282,3432,4128,37925
SOSR522,0,4,0,4,..,15,3,16,0,16,..,0,0,0,0,0,..,9,4,14,0,15,..,2761,274,3033,80,3111,..,3237,308,3548,89,3637,..,86,32,115,2152,2267,15679,3322,343,3666,2239,21588
