SOSR_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOSR514,228,252,474,888,796,1681,337,309,647,89,111,198,1319,1215,2532,688,604,1289,189,201,394,77,111,186,952,916,1870,30,26,58,15,55,72,96,58,155,99,199,293,3,0,3,242,346,584,31,51,79,22,73,93,11,22,33,41,145,190,0,4,4,106,289,397,349,634,982,23,35,58,43,104,148,0,0,0,73,135,208,1300,1116,2416,4220,4261,8484
SOSR515,786,732,1521,3064,2785,5848,642,612,1255,312,326,643,4023,3730,7753,2217,1960,4175,360,379,740,251,298,548,2820,2645,5462,122,99,220,67,149,207,269,202,475,260,609,869,9,3,10,726,1052,1778,64,158,215,56,171,232,35,91,121,176,460,629,0,0,0,328,879,1200,1055,1930,2985,68,84,150,122,247,373,0,5,5,193,332,532,5354,4783,10138,14237,14155,28398
SOSR521,288,242,533,1193,1074,2267,185,186,372,122,120,247,1496,1382,2878,748,723,1472,107,116,221,126,149,271,980,990,1971,35,47,80,11,42,55,83,51,137,87,189,282,3,6,5,228,335,558,29,62,92,30,56,88,7,13,25,52,173,225,0,0,0,115,314,423,344,642,983,40,44,81,48,75,124,8,3,15,91,122,218,2312,2069,4383,5517,5449,10964
SOSR522,157,163,318,702,683,1381,155,136,285,71,82,156,925,896,1823,382,401,783,74,81,154,61,78,133,511,560,1068,23,36,58,8,19,23,48,24,76,40,85,123,0,0,0,119,159,284,10,25,38,13,24,44,7,10,19,23,71,89,0,0,0,53,135,191,176,297,476,11,11,20,9,39,54,0,0,3,23,57,78,1279,1121,2403,3072,3090,6161
SOSR531,1033,999,2029,4128,3678,7802,1025,1002,2026,1028,916,1943,6187,5598,11780,2742,2565,5305,882,901,1789,1275,1267,2543,4897,4738,9640,224,186,414,72,162,235,549,253,794,305,762,1066,6,9,16,1159,1361,2522,402,658,1067,109,297,405,90,170,268,261,722,978,5,0,4,864,1850,2714,2023,3219,5244,136,138,275,202,369,570,6,4,6,342,509,851,14257,6812,21075,28735,21876,50614
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,9,0,8,13,0,17,0,0,0,0,0,3,0,0,0,0,0,3,193,20,219,209,28,237
SOSR599,22,18,41,94,92,181,13,7,22,23,17,35,121,114,243,39,47,83,4,3,6,9,4,19,51,55,109,13,11,16,9,18,33,11,6,15,7,25,34,0,0,0,44,59,99,14,25,42,13,17,31,0,3,9,15,25,46,3,0,3,52,68,122,96,130,224,16,16,32,7,16,23,0,0,4,23,34,55,2227,1260,3489,2535,1623,4160
SOSR603,1340,1250,2593,5623,4965,10585,1620,1772,3390,862,868,1733,8124,7608,15725,3172,2909,6081,1423,1561,2981,1178,1144,2321,5781,5623,11397,445,433,884,1194,1210,2400,618,362,978,1163,1188,2356,14,14,25,3435,3211,6645,1809,2146,3956,1471,1700,3169,265,363,629,1082,1882,2964,10,9,21,4645,6096,10741,8088,9321,17413,467,485,947,435,671,1113,10,8,23,915,1168,2085,4814,4452,9269,29058,29423,58478
SOSR611,499,513,1005,2458,2342,4799,544,523,1070,418,410,827,3419,3283,6704,1488,1455,2941,471,505,975,502,459,956,2464,2416,4876,121,156,275,283,339,623,283,168,447,400,431,834,9,8,7,1095,1099,2191,573,713,1287,425,545,971,86,140,229,326,573,900,0,7,9,1422,1976,3390,2513,3074,5587,190,165,354,197,290,482,3,3,3,385,460,846,1994,1899,3894,11262,11642,22906
SOSR612,254,210,457,1363,1422,2781,363,348,712,139,144,281,1872,1916,3779,962,959,1924,269,269,544,87,86,177,1326,1324,2652,109,103,218,82,117,203,152,126,274,163,254,421,3,0,3,512,605,1116,100,204,305,66,139,202,26,49,78,145,248,393,0,3,3,341,639,977,854,1244,2100,68,83,152,73,120,190,0,8,8,142,207,349,1192,1280,2468,5635,6169,11810
SOSR613,63,57,115,349,314,663,98,80,179,56,66,123,502,460,962,253,226,484,71,73,143,49,51,96,371,352,720,31,20,53,12,25,46,52,24,74,40,68,106,0,0,0,132,145,275,19,38,61,20,26,47,4,13,22,31,63,96,0,0,0,74,147,220,203,292,498,21,11,32,13,34,51,0,0,0,34,47,83,387,375,761,1563,1582,3148
SOSR614,89,107,198,547,523,1077,169,145,313,22,28,55,741,699,1441,336,313,650,98,126,217,37,26,60,470,456,929,26,32,58,15,31,45,56,33,88,69,83,153,5,0,3,171,182,353,34,39,69,14,58,69,7,17,28,55,100,150,0,0,0,109,217,326,276,392,672,15,39,56,16,47,59,0,0,0,28,82,111,547,550,1098,2161,2299,4454
SOSR615,383,364,750,2074,1939,4011,440,422,856,233,249,485,2747,2609,5351,1307,1222,2530,304,296,600,225,196,419,1836,1718,3556,98,103,198,104,133,236,212,134,348,246,354,603,8,4,14,668,732,1398,112,242,356,107,180,285,42,61,104,170,391,559,0,0,4,431,872,1303,1099,1605,2711,80,99,178,93,163,258,4,4,4,175,262,438,1907,1927,3830,8154,8488,16639
SOSR621,113,108,224,688,672,1360,108,109,218,78,79,157,875,866,1737,401,358,756,83,119,204,94,95,188,573,573,1149,31,27,58,24,37,58,52,28,85,100,107,205,4,0,6,215,200,410,70,80,154,32,62,96,12,21,34,53,143,201,0,3,6,168,312,481,385,511,892,25,28,54,24,62,84,0,0,0,49,87,134,722,691,1417,2719,2839,5555
SOSR622,36,41,75,243,268,513,38,30,67,28,28,52,309,323,631,162,146,306,37,49,89,30,30,59,232,228,458,13,13,22,7,19,32,29,14,39,29,48,79,0,0,0,81,92,172,15,34,46,14,19,29,0,4,3,18,52,75,0,0,0,54,110,161,133,196,330,12,5,21,7,11,20,0,0,0,19,23,37,354,345,698,1082,1156,2237
SOSR631,536,517,1060,3196,2967,6167,805,778,1584,545,520,1065,4553,4268,8820,1960,1905,3869,680,667,1347,592,570,1161,3243,3152,6387,157,163,320,110,141,251,453,212,664,406,508,915,14,13,19,1128,1038,2166,243,444,688,148,255,401,46,90,134,256,687,945,0,9,6,691,1490,2179,1821,2528,4349,142,162,304,130,261,388,13,7,20,284,430,713,3816,3300,7118,14248,14190,28445
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
SOSR699,9,5,9,27,15,41,3,0,4,0,3,3,28,18,53,8,19,30,4,0,7,0,0,3,13,19,33,6,0,9,0,4,4,8,9,9,3,8,9,0,0,0,21,23,35,0,4,3,8,3,9,0,4,0,4,16,14,0,0,0,13,22,32,30,39,68,0,0,0,0,9,8,0,0,5,0,10,13,210,130,337,296,223,519
SOSR703,1191,1147,2340,4039,3830,7865,630,624,1251,662,713,1377,5336,5175,10510,2409,2411,4813,668,621,1289,649,635,1284,3728,3671,7395,160,131,293,319,343,657,233,201,434,557,887,1443,3,10,11,1270,1567,2840,647,898,1546,785,1202,1990,194,312,513,923,1840,2763,8,11,18,2557,4260,6814,3834,5831,9667,337,352,690,333,614,940,5,9,16,674,967,1642,6461,4863,11329,21224,21661,42887
SOSR712,270,195,470,796,709,1511,200,195,396,205,207,414,1212,1121,2329,286,281,567,169,175,337,296,285,582,751,744,1485,16,5,23,29,30,68,50,36,89,125,193,321,4,0,8,226,273,498,33,62,98,51,133,184,16,40,61,219,429,648,3,0,5,330,661,991,551,939,1493,52,47,98,55,124,178,0,4,8,105,170,278,833,867,1691,3721,4031,7753
SOSR714,48,38,92,264,239,505,29,24,51,5,7,12,289,274,572,133,121,252,33,33,69,8,0,10,174,158,332,5,4,11,15,13,22,7,5,16,19,41,61,0,0,0,47,61,107,5,9,10,23,23,50,7,13,16,26,60,90,0,0,0,58,104,164,107,163,269,5,12,22,13,17,32,0,0,0,26,22,48,481,430,917,1124,1098,2219
SOSR715,177,163,337,810,702,1508,203,186,388,62,67,128,1072,950,2022,465,439,906,74,88,166,29,24,57,571,551,1125,3,8,9,10,3,8,13,11,26,40,63,100,0,0,4,65,85,145,10,19,25,15,36,48,3,6,14,59,117,176,4,0,4,89,182,267,154,261,417,14,16,25,31,31,60,4,5,5,43,43,87,983,897,1885,3000,2870,5872
SOSR721,134,143,279,637,586,1229,57,60,113,22,21,46,713,669,1381,265,302,568,39,27,69,36,40,78,339,375,704,0,6,9,5,5,16,10,5,12,31,53,86,0,0,0,53,73,124,5,9,18,8,18,32,3,11,14,28,70,97,0,0,0,41,119,158,94,194,281,14,17,30,18,24,40,0,0,0,31,39,76,494,471,960,1802,1882,3686
SOSR722,117,108,222,670,589,1255,58,55,111,18,16,32,745,663,1406,257,215,475,27,44,68,52,40,91,336,296,635,4,7,3,5,11,16,4,0,5,22,31,53,0,0,0,34,48,82,7,6,6,6,14,17,0,3,7,26,49,79,0,0,0,37,70,108,69,122,191,3,6,5,8,9,18,0,0,0,12,13,25,523,532,1060,1800,1739,3541
SOSR731,264,241,501,1202,1165,2366,118,126,248,164,176,337,1490,1470,2953,601,622,1227,120,123,243,229,207,433,954,949,1902,19,16,29,12,18,33,99,47,150,93,139,229,5,0,3,228,226,453,36,64,104,19,70,92,25,74,98,80,291,368,0,0,0,163,501,662,389,726,1119,23,23,45,31,76,109,4,3,8,59,103,161,3207,2005,5206,6350,5495,11843
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,23,22,0,22
SOSR799,5,8,14,56,38,101,0,0,3,13,7,27,77,57,132,12,16,26,3,0,3,10,11,17,26,24,48,0,0,0,0,0,0,0,3,4,4,8,15,0,0,0,9,11,21,0,0,4,13,4,16,0,0,0,4,15,25,0,0,0,20,24,46,20,39,68,11,8,22,0,6,6,0,0,0,12,10,26,643,579,1224,793,709,1503
SOSR802,4588,4220,8808,12957,12026,24983,4500,4195,8699,2175,2252,4425,19653,18499,38154,8447,7681,16130,3630,3449,7079,2213,2392,4606,14301,13537,27840,720,655,1380,1064,1137,2198,1553,955,2506,2463,3209,5674,19,14,30,5821,5971,11796,7616,9083,16699,3178,3509,6690,1135,1477,2611,4243,5883,10124,28,25,61,16200,19979,36185,22055,25972,48030,1012,931,1938,1628,2102,3729,11,22,28,2647,3053,5698,9470,8515,17986,72716,73804,146523
SOSR822,6,10,17,21,6,35,10,11,20,9,7,12,36,26,62,9,7,13,14,13,24,7,7,15,33,26,56,0,5,5,0,0,0,3,0,6,5,8,9,0,0,0,7,9,20,5,5,9,5,0,3,0,0,0,0,4,10,0,0,0,5,13,19,17,20,39,0,4,0,0,0,0,0,0,0,0,3,0,13,14,28,104,98,204
SOSR831,12,3,13,3,11,15,6,3,11,0,0,5,11,16,27,10,3,10,3,9,11,0,9,10,17,17,31,0,0,0,0,0,0,0,5,7,6,4,4,0,0,0,4,8,15,3,5,7,5,4,6,0,0,0,3,7,11,0,0,0,11,13,25,17,23,40,41,10,49,0,0,3,0,0,0,42,9,52,59,37,96,156,107,262
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,3,0,8,6,5,9,0,0,0,0,0,0,6,5,9,9,23,36,0,0,5,0,0,0,11,25,37,0,4,8,0,0,3,0,0,0,3,4,7,0,0,0,9,14,21,11,6,21,4,4,9,3,5,5,0,0,8,0,0,0,14,18,35,23,31,54,0,0,0,3,6,5,0,0,0,3,6,4,97,36,131,148,104,248
SOSR915,14,10,23,64,56,119,0,0,0,0,0,0,64,56,119,36,49,78,0,0,0,0,0,0,34,44,83,0,0,0,5,0,7,5,3,6,10,6,17,0,0,0,14,9,26,0,3,5,0,3,3,0,0,0,0,3,3,0,0,0,4,12,12,20,20,38,3,0,3,0,3,7,0,0,0,4,3,12,139,106,243,275,243,514
SOSR921,15,12,32,54,58,116,0,0,0,0,0,0,53,58,111,43,38,83,0,0,0,0,0,0,43,46,88,0,0,0,0,0,0,8,5,11,4,15,14,0,0,0,12,19,32,0,3,7,0,5,5,0,3,3,4,13,10,0,0,0,3,22,30,18,35,54,0,0,0,4,3,4,0,0,0,5,7,7,96,99,200,239,258,500
SOSR922,7,5,14,40,31,72,0,0,0,0,0,0,41,31,69,23,10,33,0,4,3,0,0,0,20,9,30,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,5,5,4,0,0,0,0,0,0,0,0,0,4,6,7,0,0,0,3,4,7,8,7,20,0,0,0,0,0,0,0,0,0,0,0,0,63,61,118,135,117,250
SOSR931,13,4,11,30,20,49,0,0,0,0,0,0,30,20,49,16,20,30,0,0,0,0,0,0,16,22,30,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,3,9,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,7,12,8,12,17,0,0,0,0,0,0,0,0,0,0,0,0,282,60,344,344,114,456
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
