SOSR_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,4918,554,999,194,11,6678,10910,1007,1988,15,0,13918,3957,1681,6091,13,24,11759,1135,743,694,0,10,2583,139,31,88,0,7,261,1681,570,1236,22,19,3523,1094,103,345,65,20,1639,46,18,48,0,0,117,8056,3147,8503,104,76,19883,317,74,113,19,10,535,339,105,213,29,27,721,24542,4886,11815,355,124,41727
SOSR712,997,173,22,65,21,1283,2460,567,43,7,15,3084,679,862,201,6,13,1763,437,318,28,0,4,784,64,44,3,0,12,121,452,255,31,11,18,774,111,107,23,16,25,283,10,4,0,0,0,16,1755,1592,287,33,73,3738,100,86,14,10,8,228,103,59,4,6,17,191,5410,2483,372,123,127,8519
SOSR714,200,15,0,8,6,222,398,20,0,0,0,424,321,164,7,0,3,500,116,114,14,0,0,247,46,15,0,0,0,57,108,22,0,0,0,131,108,39,3,8,10,161,9,4,0,0,0,8,702,354,39,5,13,1113,40,11,0,0,4,56,23,29,13,0,10,84,1368,428,53,19,34,1897
SOSR715,165,3,0,0,0,174,133,0,0,3,0,135,89,35,8,6,0,141,1017,95,40,3,0,1152,516,58,14,0,4,590,76,11,7,4,0,97,544,56,29,4,3,634,30,9,0,0,0,39,2263,265,102,15,5,2645,500,58,45,13,16,629,70,13,3,5,10,95,3122,344,140,38,35,3684
SOSR721,120,12,0,25,3,161,198,11,0,4,3,213,28,9,4,0,0,43,761,153,11,0,0,929,314,61,21,3,3,410,24,8,3,4,0,41,333,227,102,9,28,699,14,7,0,0,0,20,1473,476,139,13,37,2143,266,56,33,9,14,380,40,20,3,4,7,73,2099,571,174,63,61,2967
SOSR722,211,0,0,36,4,251,197,3,0,12,0,212,23,0,0,0,0,25,1050,99,33,0,8,1186,308,44,7,4,0,368,80,0,0,0,7,88,123,9,4,0,11,145,18,0,0,0,0,20,1602,155,40,13,25,1830,246,13,4,15,14,293,60,4,0,8,0,76,2316,182,43,76,43,2661
SOSR731,2111,7,3,232,70,2424,3303,5,0,42,27,3374,294,0,0,4,8,307,413,23,12,3,6,457,369,8,10,4,4,398,536,12,7,29,16,599,346,16,0,61,33,454,35,0,0,0,0,38,2001,53,27,108,58,2250,732,11,6,79,45,875,207,0,3,46,30,289,8354,79,34,506,238,9202
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,34779,5830,3999,92,25,44731,48749,9831,9001,4,32,67622,9397,6244,12930,0,44,28618,4389,2706,1429,18,10,8556,387,315,300,0,10,1012,4778,2350,3332,9,26,10491,1650,473,539,31,20,2717,107,54,48,0,0,208,20708,12137,18580,62,117,51598,1002,828,810,4,16,2656,885,270,276,0,9,1448,106123,28906,32669,163,202,168058
SOSR822,66,4,0,0,0,66,102,0,0,0,0,102,13,6,0,0,0,9,3,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,0,0,27,3,0,0,0,0,3,0,0,0,0,0,0,188,14,0,0,0,203
SOSR831,30,0,0,0,0,36,32,0,0,0,0,32,3,0,0,0,0,8,9,0,0,0,0,9,0,0,0,0,0,0,23,0,0,0,0,22,14,0,0,0,7,18,0,0,0,0,0,0,42,0,0,0,8,57,12,0,0,0,0,17,3,0,0,0,0,3,126,0,0,0,13,138
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,59,25,23,0,0,108,40,12,6,0,0,63,0,0,0,0,0,0,7,31,49,0,0,86,0,0,3,0,0,5,24,20,13,0,0,58,30,8,15,0,0,52,0,0,0,0,0,0,61,58,86,0,0,204,22,7,8,0,3,36,4,0,6,0,0,9,191,95,127,3,6,416
SOSR921,286,0,0,0,0,290,174,5,0,0,3,174,74,4,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,101,4,5,0,0,115,14,0,0,0,0,22,0,0,0,0,0,0,201,9,8,0,4,220,21,0,0,0,0,21,19,0,0,0,4,25,698,11,10,0,13,727
SOSR922,13,0,3,0,0,14,4,0,0,0,0,4,13,0,0,0,0,17,44,0,0,0,0,47,9,0,0,0,0,9,4,0,0,0,0,3,32,0,0,0,0,32,0,0,0,0,0,0,109,0,0,0,3,111,23,0,0,0,0,23,9,0,0,0,0,9,155,0,3,0,3,156
SOSR931,82,0,0,0,3,81,35,0,0,0,0,35,16,0,0,0,0,16,0,0,0,0,0,0,28,0,0,0,0,28,21,0,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,0,66,0,0,0,3,70,10,0,0,0,0,14,24,0,0,0,0,24,219,0,0,0,4,227
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
