SOSR_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SOSR521,58,115,107,62,67,0,5,408,3,9,12,12,3,0,0,37,0,6,10,5,0,0,0,21,100,215,195,113,144,13,5,786,9,11,7,4,9,0,0,43,15,24,11,9,5,0,0,57,20,37,19,11,11,0,0,98,122,250,214,131,152,11,5,887,290,282,174,124,82,10,0,960,6,14,4,9,6,0,0,38,422,542,396,260,244,16,5,1879
SOSR522,32,75,36,33,22,3,4,204,6,5,4,0,0,0,0,10,0,5,0,3,0,0,0,9,58,127,88,66,46,11,4,397,4,7,10,4,3,0,0,34,7,15,5,3,0,0,0,41,13,26,10,9,6,0,0,69,64,152,95,74,59,10,4,461,187,203,95,67,45,5,0,613,9,20,12,3,9,0,0,45,263,374,207,145,111,19,6,1129
SOSR531,132,282,202,143,153,14,5,935,20,26,20,13,12,0,0,86,8,8,11,3,8,4,0,33,234,514,434,316,371,51,24,1951,6,14,17,21,5,0,0,58,14,27,22,14,12,0,0,95,23,45,38,37,17,6,0,156,258,557,474,349,390,54,28,2104,354,379,245,149,136,15,10,1286,15,25,13,13,0,0,0,65,613,959,729,513,526,72,30,3456
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,396,779,577,383,445,139,48,2757,68,57,43,27,38,15,7,258,17,24,19,15,5,0,0,85,682,1372,1132,824,1119,374,173,5679,28,62,56,39,45,10,5,246,71,119,63,48,40,10,0,357,96,184,116,87,84,27,5,600,773,1558,1251,914,1201,398,183,6282,896,927,506,378,343,103,71,3225,15,28,12,9,0,3,0,70,1688,2511,1772,1298,1543,506,251,9575
SOSR611,180,337,239,180,218,60,16,1224,27,17,14,11,20,0,0,88,8,11,8,9,3,0,0,46,287,566,455,360,475,134,47,2327,17,30,16,16,10,0,0,91,33,74,42,22,21,4,0,188,47,98,55,41,28,5,0,282,340,664,511,396,508,143,48,2602,471,482,280,179,179,40,19,1652,8,11,11,9,3,5,0,40,816,1157,804,583,688,186,65,4298
SOSR612,135,217,171,121,128,26,8,803,15,10,9,10,15,0,3,61,10,6,10,10,9,0,0,34,201,351,305,232,272,64,13,1439,5,27,10,21,8,0,0,71,21,48,32,15,25,5,0,145,27,78,41,40,29,6,0,213,228,422,344,270,304,67,13,1651,357,362,209,132,127,18,8,1224,8,10,8,5,0,0,0,34,593,799,571,410,431,83,28,2907
SOSR613,22,56,48,27,38,0,0,194,6,5,4,0,3,5,0,15,7,0,4,0,4,0,0,17,36,83,77,56,77,13,5,351,0,0,0,0,0,0,0,8,4,8,4,0,7,0,0,22,4,9,4,4,6,4,0,27,43,86,85,59,85,14,5,380,61,67,30,22,39,4,7,236,0,4,0,0,0,0,0,3,105,161,113,89,128,19,12,619
SOSR614,33,66,65,52,45,12,4,276,12,4,7,8,3,0,0,40,0,3,3,4,3,0,0,16,73,118,114,90,93,22,11,528,0,9,3,3,4,0,0,25,3,14,7,4,0,0,0,37,9,23,14,6,5,0,0,58,80,138,122,100,103,24,13,584,141,128,71,47,41,7,0,435,0,6,0,0,0,0,0,8,223,272,197,152,142,32,13,1028
SOSR615,128,291,201,143,154,30,4,956,18,25,18,10,6,0,0,78,5,4,11,7,0,0,0,31,196,475,386,271,322,75,19,1745,10,36,23,15,13,0,3,107,14,39,18,14,16,4,0,104,29,78,37,28,33,5,3,212,228,548,425,300,356,79,23,1956,338,399,207,147,129,28,6,1260,6,7,0,5,0,0,0,17,575,949,633,446,484,115,28,3235
SOSR621,37,80,73,45,37,7,6,290,6,9,3,3,5,0,0,25,3,3,3,5,0,0,0,13,56,141,120,88,76,19,8,513,5,3,6,0,3,0,0,22,4,8,9,5,0,3,0,33,10,17,14,4,8,3,0,53,67,154,134,93,89,19,6,567,89,89,39,36,25,9,0,283,5,0,3,0,5,0,0,10,158,251,173,127,113,32,6,867
SOSR622,12,33,22,16,11,3,4,104,0,3,0,0,0,0,0,9,0,4,0,3,0,0,0,9,22,49,32,30,39,0,3,180,4,0,5,3,0,0,0,11,0,6,0,0,4,0,0,11,3,6,4,5,4,0,0,22,33,61,32,27,36,6,3,201,34,39,20,13,12,4,0,122,0,0,0,0,0,0,0,4,67,98,48,43,52,12,7,324
SOSR631,116,262,192,149,185,29,7,937,19,10,8,11,17,0,0,74,8,12,17,8,8,0,0,60,209,474,388,312,394,77,22,1867,11,27,19,12,12,5,0,75,13,32,27,10,10,6,0,92,23,53,45,18,22,8,0,172,236,528,429,332,413,85,22,2039,266,266,192,135,132,19,8,1018,10,9,6,6,4,0,0,39,514,808,620,475,548,105,32,3094
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,186,341,189,144,118,28,7,1012,34,37,19,12,15,4,0,125,7,16,9,10,8,4,0,58,504,1019,679,505,578,116,62,3453,20,58,23,25,19,3,0,150,25,53,31,13,10,0,0,132,43,104,53,40,30,3,3,282,544,1120,734,549,608,123,60,3729,485,468,260,181,137,23,12,1574,37,37,10,17,13,0,0,111,1064,1629,1006,744,752,143,76,5414
SOSR712,39,56,47,32,35,4,0,203,10,13,6,0,0,0,0,29,5,7,0,3,0,5,0,22,112,202,160,110,132,14,5,726,9,3,9,6,0,0,0,31,0,7,9,0,4,0,0,23,15,10,11,4,3,0,0,54,122,212,174,118,134,14,5,777,160,164,94,59,33,3,0,509,0,0,0,0,4,0,0,17,285,375,270,180,171,20,4,1305
SOSR714,5,9,10,8,5,0,0,28,0,0,0,0,0,0,0,4,0,0,0,0,3,6,0,9,23,38,40,28,22,4,0,149,0,5,7,3,0,0,0,13,7,7,5,4,0,0,0,19,6,11,9,5,0,0,0,31,26,51,41,33,22,4,0,183,30,66,34,15,11,0,0,154,7,10,7,0,5,0,0,27,64,123,80,55,35,6,0,362
SOSR715,17,35,17,16,17,0,0,102,12,14,3,5,4,0,0,31,8,0,3,0,4,0,0,15,66,94,69,62,48,6,0,346,17,22,6,10,7,0,0,57,6,18,8,14,7,0,0,54,27,39,17,21,12,0,0,110,93,138,89,82,57,6,0,461,206,242,158,95,46,9,5,762,8,7,10,0,0,0,0,28,306,386,255,174,108,11,5,1251
SOSR721,31,57,40,12,12,0,0,144,7,3,0,0,3,0,0,15,4,0,0,0,0,0,0,9,49,104,66,37,22,4,0,281,10,13,8,11,6,3,0,51,0,7,0,3,0,0,0,17,11,19,7,15,6,3,0,62,63,123,75,48,31,9,0,342,125,169,101,69,39,6,0,507,4,3,0,4,0,0,0,17,186,297,175,123,69,11,0,861
SOSR722,24,27,22,12,9,0,0,98,3,5,10,4,0,0,0,18,0,10,6,5,0,0,0,14,42,64,57,34,24,0,0,223,9,17,10,11,4,0,0,52,8,12,3,4,3,0,0,24,16,30,16,13,9,0,0,79,60,88,69,48,32,0,0,302,175,211,138,77,27,0,0,621,8,13,3,5,0,0,0,28,243,310,212,128,57,0,0,950
SOSR731,25,58,45,30,16,0,0,181,11,19,9,7,0,0,0,42,4,0,4,4,0,0,0,12,72,187,129,76,79,13,0,553,13,17,15,3,7,0,0,53,14,17,12,7,0,0,0,50,23,32,23,10,6,0,0,92,91,219,149,88,81,13,4,651,172,173,126,75,34,0,0,590,14,16,7,14,0,0,0,55,283,409,283,174,121,7,5,1290
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,592,983,664,415,584,180,98,3514,125,106,59,34,54,32,14,424,48,31,18,11,14,8,5,121,1409,2880,2073,1500,2164,819,394,11236,39,67,48,40,42,10,10,256,63,97,56,35,41,17,6,315,96,163,104,74,85,31,20,570,1504,3047,2175,1579,2250,845,410,11813,907,997,575,355,468,156,116,3578,29,28,19,9,8,6,0,99,2440,4071,2765,1944,2732,1012,526,15484
SOSR822,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,6,3,0,0,18
SOSR831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,16,10,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,5,5,4,0,0,0,19
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,8,3,3,4,0,0,24,0,5,0,0,3,0,0,10,0,0,0,0,0,0,0,0,6,7,6,3,13,0,0,33
SOSR921,0,13,6,3,3,0,0,24,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,20,12,5,9,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,12,5,9,0,0,48,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,5,14,15,8,12,0,0,60
SOSR922,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,16
SOSR931,4,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,16,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,5,7,4,8,3,0,0,0,24
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
