SOSR_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
SOSR331,1443,183,2753,34,38,192,277,645,63,1245,25,13,96,59,80,13,289,51,45,283,325,359,35,1106,18,14,158,213,412,62,875,319,189,1576,616,1007,93,3799,39,37,293,345,755,94,1559,219,182,981,849,1048,91,3363,1089,1031,4498,1689,2640,216,11163,1088,866,4897,3265,4740,501,15361,48,28,208,164,312,29,777,57,49,340,488,1348,70,2351,70,60,444,417,830,418,2235,3524,2971,18102,12597,22794,2734,62728,338,261,3062,2846,8606,1050,16156,130,69,533,511,4037,171,5451,157,103,843,932,5294,234,7555,67,46,265,304,1385,47,2113,118,75,977,1377,11163,440,14139,59,38,361,407,1590,97,2555,112,85,1002,988,3871,344,6412,135,58,697,807,2495,293,4478,104,62,459,743,2999,242,4607,42,31,187,132,258,21,670,130,80,498,494,540,49,1793,51,30,294,327,898,100,1696,751,310,2980,1118,1659,164,6972,70,56,439,554,1697,154,2966,430,304,1710,1811,2843,216,7320,1464
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,60,9,180,0,0,3,0,16,0,20,0,4,5,0,0,0,8,3,0,6,5,7,0,14,0,0,5,8,9,0,16,10,5,31,7,10,0,64,4,5,26,14,23,7,79,4,4,9,9,6,0,38,16,6,35,10,12,4,91,21,12,78,48,59,7,230,0,0,6,4,11,0,26,0,0,4,5,16,3,35,5,4,17,5,6,13,46,95,52,390,207,323,54,1118,6,5,87,25,52,12,193,4,0,9,11,44,6,62,4,4,16,15,48,0,88,0,0,4,3,15,0,30,3,0,15,17,155,8,194,0,0,8,7,14,0,27,14,0,27,22,57,5,123,21,5,99,49,107,16,292,7,4,8,17,59,3,96,0,8,8,6,5,0,28,6,0,9,3,12,0,30,0,0,7,5,10,0,28,23,9,61,22,30,3,150,9,3,43,24,50,6,135,12,10,15,16,34,3,83,18
SOSR401,3507,335,8953,236,80,755,514,1030,93,2706,247,104,843,278,368,52,1890,786,345,2496,1742,2096,196,7663,167,78,740,620,976,123,2704,2777,1038,7150,2049,2357,291,15660,690,222,2249,1486,2782,279,7703,2174,1316,5972,2705,3477,274,15916,6642,3323,14273,4026,4553,374,33197,8726,4323,26225,11255,14974,1569,67071,302,126,1145,499,752,71,2904,501,256,1815,1571,4252,230,8619,515,110,1356,708,1134,664,4481,26988,12217,77273,34069,53192,5584,209320,297,82,847,386,850,146,2601,509,141,1325,404,1748,69,4192,2192,529,6433,3775,11633,687,25240,685,236,1781,860,2212,131,5905,1148,287,4738,3232,21968,780,32155,665,210,2108,1330,3651,238,8203,1897,465,7716,4034,11501,933,26551,1513,217,5200,3305,7131,643,18004,1371,278,3351,2789,6039,574,14394,660,200,2103,881,1299,130,5279,1792,762,5207,3310,3227,330,14633,400,156,1676,1258,2057,210,5760,6913,2146,18090,4641,4835,701,37328,1338,344,3978,2557,5690,488,14397,4687,2272,11787,6192,8992,661,34594,10906
SOSR412,462,27,657,0,3,20,38,95,6,166,0,5,32,14,35,8,94,12,12,53,98,150,10,332,0,0,25,56,123,8,226,68,29,199,122,218,28,668,9,14,80,97,262,14,474,80,79,275,274,360,23,1091,294,271,1210,369,596,30,2769,268,291,1488,965,1728,106,4845,10,6,46,30,69,0,162,12,13,57,99,394,15,595,8,8,35,49,114,43,258,835,772,4025,2678,5926,419,14658,25,8,132,96,343,37,639,26,4,91,77,527,23,750,91,39,345,322,1795,63,2663,5,11,29,49,224,12,327,25,24,159,189,1975,74,2445,14,7,53,81,358,15,523,45,18,278,261,1299,85,1980,14,13,123,128,746,50,1070,17,13,92,114,567,31,821,5,12,58,39,107,11,232,30,17,115,183,222,9,581,5,3,44,91,213,10,370,133,62,492,248,422,42,1394,15,13,128,149,503,29,832,168,120,518,603,924,48,2373,414
SOSR413,373,27,602,3,0,18,17,57,7,104,5,3,32,12,24,0,78,17,13,52,66,81,12,241,9,7,29,39,81,3,174,93,64,239,121,159,8,688,10,12,56,79,176,28,358,76,51,271,210,320,20,957,279,201,943,249,421,37,2122,322,246,1277,751,1363,107,4072,15,7,64,24,62,12,189,18,16,61,79,306,10,479,19,14,41,40,86,47,238,959,673,3581,2059,4399,402,12071,23,15,141,105,405,79,770,26,13,61,41,345,16,493,68,27,234,138,954,39,1448,21,6,55,46,207,14,339,24,20,139,130,1489,55,1856,16,8,73,34,181,15,322,44,23,275,201,950,75,1561,29,9,146,152,668,44,1053,20,6,71,92,423,46,655,16,14,72,38,57,6,198,42,34,126,124,132,12,475,17,3,53,78,136,12,307,249,112,609,209,263,32,1476,26,18,109,118,377,50,694,151,95,482,376,744,37,1895,429
SOSR414,162,13,272,0,0,9,5,30,0,46,0,5,10,3,12,0,22,0,3,16,26,48,4,98,0,0,8,20,39,0,68,17,13,85,38,76,4,231,3,9,36,32,80,5,154,18,10,67,51,82,0,236,72,73,311,94,121,5,677,67,70,397,291,514,32,1370,4,0,14,3,26,0,55,7,0,22,24,109,4,168,0,0,14,23,25,21,85,217,203,1200,835,1753,146,4361,8,7,50,47,185,23,321,5,0,16,20,114,0,159,22,17,115,120,545,32,856,0,3,10,15,69,4,104,3,0,39,57,594,29,717,3,0,15,32,106,7,163,11,9,94,97,403,28,642,9,3,45,59,274,26,419,4,0,19,19,137,10,198,7,5,17,7,27,0,61,4,7,31,50,64,13,164,0,0,16,33,61,3,113,29,17,161,72,126,15,424,9,3,45,48,186,4,302,27,22,121,130,212,10,516,94
SOSR415,534,62,892,0,0,22,37,116,17,193,9,14,30,13,34,0,92,5,7,60,93,127,10,306,0,0,32,60,116,6,222,66,42,228,118,231,8,687,3,17,89,106,309,34,553,63,48,252,228,314,11,921,229,303,1238,428,541,50,2799,254,248,1330,1096,1754,135,4817,9,5,48,25,73,4,164,8,13,68,101,422,15,632,12,8,61,61,140,77,353,783,785,4199,3071,6316,583,15740,36,23,240,220,780,88,1387,40,13,114,106,782,31,1087,91,50,506,360,1738,112,2854,10,12,34,62,336,6,462,31,16,131,209,2346,83,2817,8,6,73,107,455,41,690,45,26,308,280,1315,109,2093,41,20,179,241,943,95,1513,13,8,51,112,613,69,862,10,17,58,23,90,5,200,26,15,106,154,162,17,481,6,0,45,101,188,17,360,140,56,449,242,413,21,1322,19,19,122,160,599,42,967,133,95,428,522,818,30,2027,347
SOSR421,145,18,238,0,0,10,21,40,6,74,5,0,15,9,13,0,33,0,6,12,20,36,0,75,0,0,0,8,26,0,38,16,8,62,33,42,14,165,3,0,18,30,74,12,142,20,19,74,65,99,4,283,76,62,375,134,171,11,834,70,54,333,305,439,43,1249,4,3,7,14,13,0,43,7,3,19,25,98,9,154,0,3,21,22,54,20,116,228,173,1154,866,1700,187,4306,11,7,99,91,407,65,678,0,0,9,13,137,4,170,15,13,85,70,405,23,600,0,3,14,4,82,0,111,5,5,62,61,681,20,829,5,7,23,30,154,8,228,13,5,86,63,353,25,544,11,3,39,53,219,24,355,0,0,22,42,202,20,286,5,0,12,12,24,0,51,0,3,20,30,52,0,102,0,0,7,22,43,3,75,23,18,105,62,90,12,317,7,0,29,41,159,22,259,47,31,128,151,256,12,616,109
SOSR422,89,10,134,0,0,7,8,23,4,41,0,0,0,0,5,0,4,0,0,9,14,21,3,46,0,0,3,0,10,3,18,9,0,28,13,34,3,92,3,0,6,16,58,4,94,3,5,18,24,36,6,103,45,48,177,52,105,11,437,32,37,147,150,252,24,646,4,5,9,0,7,5,27,0,0,0,16,58,4,78,0,0,10,10,27,7,59,118,114,503,405,956,121,2214,6,3,40,47,239,35,375,3,0,5,8,87,9,108,6,6,44,36,206,13,312,0,0,4,6,44,0,61,3,0,11,32,361,23,433,0,0,10,16,53,3,81,8,8,42,39,164,23,274,4,0,20,23,165,17,241,0,3,7,24,91,13,136,0,0,3,3,6,0,12,0,0,12,22,28,3,63,0,0,4,4,22,3,36,18,5,45,16,53,5,143,4,0,15,24,96,11,161,15,13,42,57,120,10,253,66
SOSR431,483,57,871,11,5,46,85,181,20,350,6,5,35,17,32,0,100,16,17,80,98,133,19,371,3,5,36,63,117,19,246,132,74,431,208,302,34,1185,21,13,94,117,282,33,558,93,67,371,298,335,32,1196,365,356,1607,545,762,72,3705,350,361,1733,1176,1712,167,5506,23,10,69,46,85,19,257,20,13,101,124,492,23,773,30,17,102,118,169,136,567,1275,1146,6286,4282,7573,935,21501,198,162,1517,1448,4322,474,8122,23,10,147,73,609,31,903,113,61,632,445,1897,113,3259,19,3,60,67,393,19,569,32,21,234,294,2977,137,3685,14,16,143,155,534,44,895,35,25,343,264,1310,128,2105,35,25,213,219,810,93,1386,20,9,127,182,860,68,1272,14,5,57,38,79,3,203,33,25,149,177,192,27,611,13,8,72,112,204,25,438,288,117,904,356,502,64,2230,24,18,155,181,578,55,1016,178,110,615,622,882,75,2472,516
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,8,0,17,0,0,5,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,3,6,0,17,0,0,5,7,7,0,23,0,5,4,4,0,0,18,5,3,6,0,4,0,18,3,5,18,20,17,3,65,0,0,0,0,0,0,0,0,0,0,6,4,0,5,0,0,0,4,0,3,3,19,8,75,46,69,8,228,0,0,9,0,6,0,17,0,0,5,3,10,0,19,0,0,7,4,12,0,25,0,0,6,0,5,0,11,0,0,6,7,26,0,41,0,0,0,0,0,0,3,0,0,0,3,15,3,28,3,0,9,3,17,0,33,0,0,3,0,22,8,28,0,0,3,0,3,0,4,0,0,0,0,5,0,6,0,0,4,5,3,0,11,8,3,14,7,8,0,40,0,0,15,5,22,3,41,3,5,6,6,8,0,27,8
SOSR501,6262,729,16537,495,182,1752,1310,2310,278,6327,274,166,1097,365,417,66,2387,953,424,3648,2272,2310,354,9963,299,137,1565,1469,1869,336,5679,5081,1755,13984,3783,4153,630,29381,845,351,3202,2261,3556,488,10698,3155,1850,8975,3852,4582,606,23021,8436,7620,24047,7305,10452,1195,59054,11173,6098,39147,17098,20727,2787,97024,512,259,2249,1068,1709,167,5972,702,401,3017,3295,7063,505,14980,1032,318,3354,1898,2732,1732,11067,39481,21808,131632,61047,88899,12370,355238,313,96,1002,539,1149,166,3267,6479,1624,15701,6093,21518,1234,52648,2435,662,7915,5347,17878,1122,35365,1101,316,2635,1196,3063,191,8495,2452,752,10202,8320,38096,1869,61688,1297,356,4361,2537,7150,515,16213,3184,769,12688,7737,18186,1839,44409,1776,398,8663,6976,12480,1326,31622,2303,607,6846,5853,10831,1190,27626,716,282,2631,1159,1563,173,6519,2318,1003,8065,4315,3449,582,19739,712,269,3390,2627,3643,517,11156,13199,3500,34734,9056,8920,1559,70975,1632,559,5686,3843,7500,851,20073,6167,3282,16461,9010,12300,1295,48515,13614
SOSR511,370,24,606,5,4,22,36,92,7,159,0,0,18,9,29,0,62,0,0,36,56,72,4,175,3,4,17,28,110,12,170,27,17,166,89,147,10,460,7,3,46,52,156,8,272,34,34,169,132,266,13,647,132,258,781,279,593,38,2082,204,168,1171,599,1263,101,3510,0,5,25,23,72,10,142,15,13,69,102,329,17,547,11,6,36,38,108,61,265,516,571,3096,1905,4979,409,11480,14,6,43,44,143,19,265,51,23,220,229,1372,48,1942,76,30,325,241,1396,62,2123,23,6,50,79,359,17,532,36,18,175,262,1940,75,2514,6,3,31,52,242,8,340,25,16,226,231,1067,69,1630,18,8,156,130,572,39,934,25,12,81,108,479,42,748,4,5,41,27,62,3,144,7,6,64,107,101,12,296,3,3,32,58,174,16,283,52,42,362,185,315,40,996,13,3,68,73,289,14,466,75,63,302,253,533,30,1248,183
SOSR512,594,56,1140,8,7,53,62,161,12,300,8,8,29,19,28,0,87,8,11,39,75,114,17,261,3,4,23,57,157,26,281,61,46,280,162,236,26,816,7,17,80,98,255,24,471,67,57,277,238,348,38,1013,236,391,1290,425,848,62,3247,365,311,1744,1025,1586,157,5192,14,3,38,55,89,11,207,14,16,81,170,484,28,790,15,6,70,83,158,69,406,928,966,4780,3246,6925,691,17540,21,12,110,104,426,45,717,209,52,553,396,2712,115,4047,24,24,201,196,980,52,1477,7,4,29,63,303,11,414,15,12,160,324,2626,83,3225,8,12,80,83,556,15,746,51,34,283,334,1643,103,2449,44,21,337,353,1095,85,1933,27,21,146,207,864,53,1323,4,11,57,28,69,8,187,18,23,80,147,159,26,436,10,3,48,103,304,41,512,140,71,589,301,462,43,1609,15,18,106,153,522,39,844,130,106,501,506,909,76,2233,370
SOSR513,251,42,642,10,10,65,89,162,17,356,10,0,22,15,12,0,59,3,5,25,39,51,6,127,4,3,29,55,106,18,213,37,21,129,63,110,7,367,16,10,85,68,148,29,348,46,56,235,172,244,23,771,166,240,827,247,453,40,1978,215,213,943,488,645,88,2594,11,10,37,29,55,4,147,10,10,70,110,232,10,435,20,10,81,49,109,81,345,642,635,3197,1992,3633,475,10572,10,5,57,58,184,27,344,84,45,382,407,2461,91,3479,24,11,108,87,471,24,714,19,3,60,53,236,8,378,16,4,118,220,1615,83,2061,8,0,45,70,332,23,473,48,16,203,193,620,74,1151,43,6,267,235,500,62,1107,42,30,221,268,799,56,1418,5,5,43,24,43,4,120,12,8,52,49,66,6,191,6,3,49,77,205,24,362,64,34,249,125,235,18,727,16,11,115,112,334,41,631,95,89,429,369,552,48,1580,232
SOSR514,214,20,423,0,0,11,9,26,3,51,0,0,9,3,3,0,15,0,0,16,16,26,6,72,0,0,20,24,24,4,79,16,11,76,39,60,0,210,3,5,34,31,55,11,134,23,8,59,42,81,5,219,58,79,274,76,187,16,700,69,67,315,194,269,23,936,0,0,17,15,19,0,55,3,3,20,36,109,11,186,4,5,32,28,35,25,135,212,218,1209,786,1518,178,4119,0,0,56,36,56,8,151,11,10,79,68,513,19,701,23,19,176,77,307,14,621,3,3,13,19,176,4,220,5,9,66,102,641,26,843,0,0,16,26,75,4,126,8,3,130,87,312,35,583,25,15,143,143,376,36,736,3,5,24,24,127,9,197,5,3,12,4,11,0,40,4,5,31,30,28,7,104,4,0,37,33,47,9,130,41,19,154,74,102,3,393,4,5,57,39,136,8,246,35,19,91,83,181,15,422,78
SOSR515,369,51,737,5,3,55,57,143,13,271,0,5,11,3,16,0,37,0,3,22,47,68,9,150,3,0,25,51,76,12,165,34,22,148,76,166,24,470,9,0,72,99,215,25,427,45,45,253,192,358,23,923,140,249,987,307,615,61,2361,195,219,951,606,968,115,3050,12,4,35,30,68,7,156,5,11,58,102,290,18,487,11,7,56,50,125,75,324,565,627,3315,2258,4875,617,12268,22,6,193,130,529,79,967,79,33,300,355,2657,112,3529,21,21,224,151,788,98,1300,11,3,32,41,274,14,371,17,10,101,192,1644,65,2031,4,8,57,48,354,21,497,28,11,193,226,916,113,1490,39,11,220,197,650,70,1191,18,7,103,164,610,35,934,8,8,14,18,59,5,106,10,4,44,59,95,5,218,7,3,41,83,137,14,289,68,30,285,149,339,24,904,12,6,113,123,429,36,720,110,89,475,438,812,55,1977,194
SOSR521,153,29,310,9,0,16,16,39,7,83,0,0,6,5,5,0,23,0,3,4,10,15,4,42,0,0,4,13,30,5,52,12,3,36,28,43,5,125,3,3,17,28,61,11,127,18,16,95,76,144,14,351,61,102,370,90,230,35,881,55,47,303,197,309,41,949,3,3,14,6,15,5,47,0,3,17,31,104,8,160,7,5,27,16,57,30,142,205,212,1178,743,1658,248,4239,8,7,111,59,250,47,482,34,17,126,132,751,44,1111,7,9,53,55,351,26,500,5,0,10,12,87,8,111,4,7,39,72,571,27,719,0,0,32,16,148,6,206,15,0,79,65,267,39,466,11,10,76,82,252,39,470,9,4,29,52,183,15,294,3,3,5,7,23,0,40,0,3,11,21,22,4,59,0,0,13,18,54,10,86,22,9,69,50,86,11,248,6,5,27,42,122,22,230,35,27,164,173,343,32,774,89
SOSR522,87,7,159,0,4,15,17,26,8,63,0,0,0,0,0,0,4,0,0,5,7,13,0,18,0,6,3,3,5,0,6,7,5,16,11,13,0,52,0,0,13,10,32,8,65,6,0,41,45,78,4,181,42,51,199,58,140,20,512,20,27,118,101,152,18,446,0,0,8,4,20,3,43,0,0,13,7,39,5,74,5,0,12,5,21,8,53,113,102,581,367,833,113,2110,4,5,59,40,213,36,349,17,0,42,55,256,13,377,4,0,17,20,121,9,183,0,0,0,0,52,3,57,5,3,16,27,239,14,296,3,0,16,15,73,8,112,10,4,45,34,117,15,216,12,0,49,46,154,12,277,0,4,23,31,116,16,182,0,0,0,5,10,0,18,0,0,5,6,9,0,28,0,6,0,5,10,0,23,11,3,48,23,20,0,111,0,0,18,25,74,9,133,17,8,65,99,207,19,422,56
SOSR531,556,101,1202,13,8,78,115,219,37,455,4,3,21,16,25,3,73,19,6,82,98,97,19,324,6,16,68,100,127,21,331,103,61,471,190,311,35,1170,16,20,112,120,236,25,532,105,78,425,329,450,45,1433,270,449,1619,535,1025,117,4025,287,274,1543,916,1149,178,4341,22,4,107,61,143,20,359,24,13,111,167,436,41,799,30,17,168,126,265,174,777,1175,1209,6948,4436,7888,1260,22908,198,172,1972,1358,3653,517,7859,207,90,818,704,3744,198,5758,77,47,410,364,1506,97,2484,14,7,74,79,338,17,525,53,38,338,563,3301,170,4453,24,13,151,156,646,34,1033,47,28,366,362,1142,129,2083,52,28,423,338,968,163,1972,23,15,171,271,952,78,1511,4,5,58,40,88,10,198,24,17,159,155,138,32,528,10,15,103,164,265,34,594,237,102,928,372,560,73,2273,22,27,177,198,613,51,1091,164,116,652,616,1138,89,2783,375
SOSR579,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,3,9,9,0,23,0,0,7,0,14,5,27,4,0,8,11,36,3,57,0,0,0,0,3,0,4,0,0,0,0,8,0,5,0,0,0,0,21,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,12,3,9,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,4,0,0,0,0,0,0,0,0
SOSR599,33,0,84,0,0,12,5,6,3,26,0,0,4,0,0,0,7,0,0,4,0,3,0,10,0,0,0,4,0,0,4,6,3,16,8,0,0,39,3,0,6,8,17,0,23,0,0,13,0,8,0,25,13,4,14,5,4,0,46,0,14,39,15,27,7,101,0,0,3,0,0,0,9,0,0,0,0,11,0,15,0,0,6,0,7,7,22,48,26,182,95,159,25,532,5,0,21,16,22,0,66,11,0,19,19,80,9,136,0,0,10,7,24,0,41,0,0,3,0,8,0,13,0,0,9,6,77,0,94,3,0,4,7,0,0,16,4,0,7,14,24,0,51,13,0,40,31,60,0,148,0,0,10,8,30,3,60,0,0,3,0,3,0,9,4,0,3,3,11,0,17,0,0,0,0,0,0,6,10,7,46,9,12,0,78,3,0,16,5,27,3,49,5,4,23,8,15,6,49,11
SOSR603,609,75,2186,46,7,91,73,158,4,377,67,40,167,66,69,7,419,104,36,199,175,227,29,764,40,7,84,92,141,21,380,578,186,917,231,324,33,2270,124,24,257,145,283,38,870,632,475,1530,620,811,83,4152,1644,541,2428,523,846,74,6056,1715,814,3782,1485,2344,271,10404,120,46,298,84,158,20,729,173,48,296,205,638,28,1385,119,12,161,57,138,115,592,6584,2432,12302,4687,8214,940,35159,258,34,356,142,265,42,1090,25,0,54,19,55,6,155,385,46,674,334,1401,91,2935,265,65,628,256,488,17,1716,219,49,551,406,3599,90,4915,96,21,188,124,390,27,844,792,86,1361,508,1618,167,4526,1027,82,1468,665,1321,139,4704,325,43,469,281,694,77,1885,141,54,392,154,205,25,969,220,89,530,355,345,48,1586,81,28,216,166,261,32,787,1301,403,2486,546,694,91,5522,280,58,473,247,580,67,1705,1177,759,2746,1179,1682,153,7700,2623
SOSR611,350,26,770,4,5,26,27,74,0,133,10,13,48,12,34,0,116,31,8,79,88,165,12,378,8,7,32,34,74,5,161,92,45,259,84,156,10,645,17,10,62,63,173,22,342,78,46,258,128,178,22,705,372,154,1033,221,410,45,2231,553,296,1702,755,1301,111,4727,21,5,59,29,52,9,176,27,7,77,82,333,15,538,16,0,47,24,80,56,219,1434,629,4318,1912,4223,408,12921,68,10,164,60,161,25,486,12,0,15,16,83,4,130,122,26,268,148,759,58,1380,30,10,82,63,189,3,384,32,9,165,149,1646,43,2047,62,8,116,75,296,18,578,168,26,396,202,942,67,1802,197,22,373,198,641,57,1484,98,10,174,137,379,37,835,20,12,109,50,94,3,287,56,17,158,162,237,20,658,18,9,60,64,139,9,300,209,100,634,204,283,27,1460,45,12,112,101,327,27,626,152,91,480,258,405,39,1426,637
