SOSR_CODE_2021,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
SOSR331,14128,539,34,14699,34,8,0,0,43,12,0,15,63,24,4,89,122,23,9,3,157,11,6,20,174,15,3,187,158,31,5,3,202,25,12,34,235,39,4,276,12041,1475,396,290,14209,116,42,155,14364,572,34,14972,2458,430,106,114,3108,71,37,101,3214,645,8,3865,34,8,7,28,73,4,0,4,81,7,76,167,14537,1917,513,429,17389,191,73,268,17654,1226,121,19000,3768,354,92,31,4243,23,3,27,4268,208,11,4482,4115,622,117,57,4914,24,12,37,4949,211,4,5166,254,59,57,8,372,5,0,5,378,18,4,400,46,3,0,100,147,0,0,0,147,12,6,163,8184,1043,268,185,9682,45,21,62,9745,456,18,10221,38,11,5,0,46,11,0,14,62,23,0,86,73,13,3,0,92,4,3,9,103,9,0,110,109,22,4,0,142,20,4,21,159,34,0,195,8293,1069,267,190,9827,66,20,83,9906,485,21,10411,1425,250,66,57
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,38990,1345,86,40418,320,91,4,6,425,77,7,83,515,47,0,560,709,150,18,13,889,59,25,77,970,58,3,1029,1034,240,18,20,1317,137,29,165,1485,99,3,1589,33219,5471,689,333,39710,586,171,762,40473,1444,91,42005,7048,1724,217,187,9178,350,115,468,9651,2039,34,11722,64,16,0,47,136,0,0,0,136,12,131,277,40338,7212,907,573,49031,933,294,1232,50257,3498,256,54012,8040,1193,123,35,9389,145,34,180,9570,442,13,10026,10165,1670,174,69,12078,120,41,155,12232,419,24,12672,367,83,63,4,517,11,3,13,529,30,3,564,57,13,4,82,157,7,0,7,165,12,10,191,18629,2958,362,195,22149,273,75,347,22493,902,43,23447,180,48,0,6,235,45,0,49,282,19,0,304,324,68,4,7,402,42,23,64,466,24,0,493,499,117,3,11,643,88,19,108,745,42,0,794,19130,3081,373,201,22790,355,99,454,23241,949,48,24238,3374,835,108,81
SOSR412,2925,125,0,3057,18,0,0,0,21,0,0,0,21,5,0,24,34,0,0,3,43,3,0,8,46,9,4,52,54,0,0,4,64,3,0,8,66,5,4,81,2561,308,62,39,2968,18,10,29,2998,138,4,3141,585,119,32,16,746,9,7,19,763,139,0,906,5,0,0,0,8,0,0,0,8,0,10,19,3159,419,94,54,3726,26,18,46,3775,273,19,4065,701,87,6,11,806,3,0,8,809,40,0,846,880,104,19,7,1013,10,5,12,1024,34,0,1060,27,5,3,0,42,0,0,0,44,8,0,52,6,0,0,6,15,0,0,0,15,0,0,17,1618,202,36,24,1872,16,4,16,1892,77,4,1970,6,4,0,0,14,0,0,0,16,0,0,20,12,0,0,0,21,3,0,6,23,0,0,28,20,9,0,0,35,4,0,4,37,0,0,40,1642,209,39,24,1908,19,9,20,1929,75,7,2015,258,49,0,7
SOSR413,2354,123,3,2481,3,7,0,0,14,4,6,5,16,4,0,23,31,3,0,0,34,6,0,6,37,5,0,46,36,11,0,0,49,5,6,13,59,8,0,70,1939,344,72,23,2383,24,8,31,2414,137,3,2548,337,86,5,26,457,22,9,36,490,131,4,627,0,0,0,4,4,0,0,0,4,0,3,12,2275,426,84,58,2841,51,18,70,2915,266,10,3191,533,75,17,3,628,4,0,4,639,40,0,677,710,123,27,8,872,12,5,17,893,33,0,923,17,5,10,0,27,0,0,0,35,0,0,37,0,0,0,6,13,0,0,0,11,4,0,18,1265,209,44,23,1544,22,5,26,1573,77,0,1653,14,0,0,0,15,6,0,6,14,3,0,19,15,5,0,0,19,3,0,5,29,3,0,30,25,8,0,0,35,8,0,9,45,3,0,46,1293,216,44,26,1582,33,3,35,1614,81,0,1704,192,41,3,5
SOSR414,819,48,7,874,3,0,0,0,3,0,0,0,3,0,0,4,22,0,0,0,24,0,0,0,21,0,0,28,26,0,0,0,28,0,0,0,30,0,0,33,700,95,18,15,828,11,12,22,846,50,7,905,179,29,0,9,222,5,0,5,230,28,0,255,0,0,0,0,4,0,0,0,4,0,0,7,880,124,23,26,1053,17,12,23,1078,78,8,1163,190,29,0,0,223,0,0,0,223,14,0,231,256,41,7,4,307,4,0,9,314,15,0,332,5,7,0,0,10,0,0,0,10,0,0,10,0,0,0,3,3,0,0,0,4,0,0,4,452,75,12,6,542,7,0,11,549,27,0,572,3,0,0,0,3,0,0,0,3,0,0,5,13,0,0,0,16,0,0,0,15,0,0,15,14,0,0,0,19,0,0,0,18,7,0,20,464,73,12,6,555,6,0,11,564,31,0,602,69,23,0,4
SOSR415,3553,144,10,3700,17,0,0,0,19,5,3,7,32,0,0,32,37,3,3,0,46,8,4,9,54,3,0,61,52,4,3,0,64,11,7,16,80,3,0,86,3060,386,87,43,3568,40,23,60,3635,148,10,3790,594,120,27,25,761,11,7,23,782,138,11,925,3,0,0,7,11,0,0,0,11,4,16,33,3653,508,107,71,4341,50,35,85,4425,288,32,4743,741,105,14,10,868,5,7,12,881,37,3,923,1037,167,28,11,1242,13,4,20,1258,35,0,1296,32,9,9,0,49,0,0,0,49,3,0,55,11,0,0,14,31,0,0,0,31,3,0,31,1823,279,48,38,2183,19,11,36,2221,80,3,2304,0,0,0,0,3,0,0,3,14,5,0,8,20,3,0,0,25,0,0,0,30,7,0,31,21,4,0,0,26,0,10,4,36,4,0,38,1852,282,48,38,2213,23,18,40,2256,83,3,2346,252,49,12,11
SOSR421,934,33,4,971,0,0,0,0,0,0,0,3,4,0,0,9,11,4,0,0,14,0,0,0,21,0,0,21,14,4,0,0,19,0,4,4,24,0,0,26,807,108,19,12,945,3,5,13,963,33,9,995,146,32,5,6,191,13,4,12,200,40,0,240,5,0,0,0,5,0,0,0,5,0,3,6,953,140,24,19,1135,21,8,28,1161,69,11,1241,191,20,3,3,220,0,0,0,220,7,0,229,329,33,5,7,377,3,0,0,380,14,0,398,11,7,3,0,19,0,0,0,19,3,0,23,0,0,0,4,4,0,0,0,4,0,0,4,531,61,16,10,619,3,0,0,623,29,0,653,5,0,0,0,5,0,0,0,0,0,0,9,4,0,0,0,7,0,0,0,11,0,0,11,8,0,0,0,10,0,0,0,12,0,0,18,540,65,19,14,630,5,4,10,637,26,4,667,66,10,0,0
SOSR422,387,28,4,416,0,0,0,0,0,3,0,3,10,0,0,5,5,0,0,0,10,0,0,0,10,0,0,4,5,4,0,0,14,3,0,3,15,3,0,13,314,56,10,7,385,8,0,10,399,29,4,432,83,16,5,4,107,10,0,11,117,47,0,165,0,0,0,0,4,0,0,0,4,0,9,11,392,74,15,10,493,17,5,20,522,81,12,609,83,20,0,5,105,0,0,0,105,8,0,106,110,26,5,0,139,0,0,0,139,18,0,156,5,0,0,3,9,0,0,0,11,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,194,39,10,6,252,0,0,3,249,28,0,281,0,0,0,0,0,5,0,5,5,0,0,5,0,0,0,0,4,0,0,0,4,3,0,5,0,0,0,0,4,5,0,5,10,3,0,9,191,44,10,6,252,4,0,4,254,28,0,286,34,8,0,4
SOSR431,5206,141,9,5358,15,4,0,0,10,9,0,9,22,0,0,24,46,0,0,0,46,0,0,0,47,0,0,47,56,4,0,0,59,9,0,9,68,0,0,65,4599,450,99,73,5233,31,12,42,5271,147,9,5425,859,115,25,41,1036,17,11,26,1065,185,0,1248,12,0,0,5,14,0,0,0,14,0,18,29,5465,567,121,126,6280,48,20,69,6346,332,26,6706,1177,116,23,7,1323,6,7,9,1334,40,0,1371,1769,206,31,25,2033,8,6,14,2043,76,0,2120,66,16,30,0,112,0,0,0,112,0,0,112,20,4,7,26,48,0,0,0,48,0,4,55,3028,347,88,60,3513,16,10,24,3539,117,9,3662,7,0,0,0,12,4,0,4,12,0,0,10,20,0,6,0,28,0,0,0,27,4,0,30,24,4,6,0,40,4,0,4,43,6,0,49,3053,352,89,59,3552,20,8,25,3582,119,9,3709,425,64,12,14
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,66553,2131,169,68852,621,108,14,15,751,78,10,85,843,59,0,907,1771,238,67,40,2124,92,21,118,2244,89,15,2341,2391,347,78,53,2873,170,33,208,3079,143,15,3241,59147,7142,1498,749,68541,863,224,1094,69633,2272,185,72094,16666,2454,581,483,20175,519,130,646,20829,2175,86,23089,143,28,0,163,336,4,0,4,342,13,277,634,75954,9624,2078,1398,89051,1393,353,1745,90801,4463,554,95813,13856,1657,289,70,15862,212,70,290,16155,778,23,16947,19428,2221,409,151,22211,266,44,311,22519,542,39,23096,582,83,111,16,794,10,0,9,806,32,6,842,139,17,0,158,309,5,0,10,320,18,46,387,34000,3977,811,391,39179,502,115,618,39797,1366,101,41273,353,74,10,6,435,58,5,68,501,49,0,547,883,130,26,18,1063,53,19,68,1130,61,4,1194,1234,202,35,27,1495,112,24,137,1630,110,4,1744,35230,4179,845,423,40678,612,141,757,41433,1476,108,43011,7902,1142,299,217
SOSR511,2285,86,11,2374,5,3,0,0,11,6,0,6,16,3,0,13,59,7,5,0,69,0,0,0,72,5,0,74,70,3,5,0,75,10,0,10,90,4,0,94,2022,209,92,20,2337,22,7,28,2371,89,11,2463,637,63,30,17,747,21,4,23,778,83,0,859,0,0,0,3,10,0,0,0,10,0,16,17,2663,273,122,39,3096,42,13,58,3156,170,19,3343,466,57,6,4,533,3,4,3,542,26,0,564,756,67,32,12,867,12,3,16,883,39,0,923,18,5,5,4,32,0,0,0,34,0,0,35,3,0,0,9,11,0,0,0,11,0,0,12,1246,131,42,22,1443,17,3,23,1468,60,3,1529,8,0,0,0,8,4,0,4,15,4,0,18,20,0,0,0,20,0,0,0,22,0,0,22,30,0,0,0,30,10,0,10,34,4,0,43,1273,131,42,22,1470,26,3,31,1503,63,3,1570,240,44,16,3
SOSR512,3606,128,5,3740,21,0,0,0,19,8,0,8,22,6,0,25,33,11,0,0,44,3,0,0,49,3,0,53,50,11,3,0,63,9,0,8,76,8,0,80,3110,366,112,38,3630,36,16,45,3675,141,5,3825,770,107,34,26,941,28,5,32,975,116,3,1098,9,0,0,7,21,0,0,0,21,0,28,39,3893,478,143,69,4587,59,17,80,4664,257,36,4957,852,97,17,8,977,6,3,14,987,34,0,1025,989,139,37,7,1186,12,5,16,1202,44,0,1250,47,10,7,0,58,0,0,0,58,10,0,67,3,0,0,6,16,0,0,0,16,3,0,18,1890,247,65,27,2233,26,5,32,2263,89,3,2356,3,0,0,0,8,0,0,0,5,0,0,9,24,10,0,3,37,0,0,0,38,4,0,35,23,8,0,3,36,0,3,5,40,7,0,46,1917,258,66,26,2269,25,11,34,2304,97,3,2404,334,41,19,17
SOSR513,2774,71,8,2852,22,0,0,0,27,0,0,0,32,0,0,32,36,5,7,0,48,7,0,7,54,0,0,55,57,9,11,0,73,7,0,7,81,0,0,85,2406,225,129,53,2815,33,8,41,2859,71,12,2938,527,63,35,42,668,24,8,34,702,86,0,788,5,0,0,9,14,0,0,0,14,0,14,27,2937,289,167,99,3488,60,21,77,3571,157,27,3749,610,45,20,10,688,9,0,7,704,22,0,725,632,59,36,11,736,6,0,6,740,21,0,762,30,0,18,0,48,0,0,0,48,0,0,49,18,0,0,7,20,0,0,0,20,0,0,26,1285,105,66,32,1493,16,0,13,1509,46,0,1554,10,0,0,0,10,8,0,8,13,0,0,13,15,4,0,0,21,0,0,0,20,0,0,20,30,4,0,0,31,6,0,6,39,0,0,39,1315,103,70,31,1523,20,0,22,1542,46,0,1590,222,22,23,10
SOSR514,936,39,0,973,4,3,0,0,7,0,0,0,8,0,0,8,15,3,0,0,18,0,0,0,18,0,0,18,22,3,3,0,26,0,0,0,30,0,0,30,794,104,47,14,957,10,0,12,967,37,0,1000,150,17,11,6,186,10,0,10,197,48,3,247,3,0,0,0,3,0,0,0,3,0,0,8,946,118,58,22,1146,17,0,20,1166,82,6,1260,133,25,4,0,169,3,0,3,172,8,0,177,300,44,20,5,369,0,0,3,373,12,0,391,15,0,3,0,24,0,0,0,24,0,0,24,0,0,0,0,7,0,0,0,7,0,0,5,454,74,27,11,565,7,0,9,568,19,0,589,0,0,0,0,4,0,0,0,4,0,0,4,12,0,3,0,11,0,0,0,11,0,0,11,12,0,4,0,13,0,0,0,13,0,0,13,458,78,29,11,571,7,0,9,577,21,0,607,72,11,0,3
SOSR515,2878,120,8,3004,15,3,0,0,19,0,0,0,26,3,0,22,40,7,0,0,54,5,5,13,67,4,0,67,58,8,0,0,74,8,5,17,85,9,0,93,2441,268,142,60,2912,37,16,54,2963,124,8,3096,572,79,51,25,716,38,8,45,761,120,3,884,12,9,0,0,16,0,0,0,16,0,16,40,3020,348,194,81,3644,71,19,97,3742,247,24,4014,549,67,28,9,655,5,3,8,660,46,3,710,735,84,40,9,869,11,0,9,880,33,0,912,47,7,19,0,66,0,0,0,71,0,0,72,10,0,0,17,26,0,0,0,26,4,0,37,1346,160,86,33,1621,18,4,18,1639,80,3,1721,5,4,0,0,14,0,0,0,14,0,0,13,19,6,5,0,26,6,3,5,32,7,0,37,21,12,5,0,39,6,3,5,42,6,0,47,1369,169,83,35,1661,17,6,25,1686,86,3,1774,237,34,24,14
SOSR521,850,48,4,901,3,0,0,0,6,3,0,3,8,0,0,8,12,0,0,0,12,3,0,3,15,0,7,19,22,0,0,0,23,7,0,7,26,0,7,27,699,95,41,23,853,14,4,17,873,48,4,930,208,31,16,13,265,20,4,28,290,124,8,418,3,0,0,0,6,0,0,0,6,3,14,22,908,127,54,39,1128,34,8,41,1173,174,17,1368,159,22,10,0,190,0,4,4,190,17,0,208,234,44,6,6,288,3,0,3,288,20,0,313,10,0,3,0,15,0,0,0,15,0,0,15,6,0,5,4,11,0,0,0,11,0,0,11,401,69,17,15,500,3,4,5,507,41,0,549,5,0,0,0,0,3,0,3,5,0,0,6,3,4,0,0,3,4,0,8,11,0,0,12,3,4,0,0,10,5,0,5,16,4,0,16,408,70,20,15,511,13,3,12,527,41,3,565,97,18,8,6
SOSR522,480,43,0,524,7,0,0,0,7,5,0,5,18,0,0,21,5,0,0,0,4,5,5,11,15,3,0,17,11,0,0,0,14,9,5,15,31,3,0,36,405,43,26,16,488,16,5,22,512,51,0,562,104,27,11,3,147,14,6,15,167,133,0,303,4,0,0,0,3,0,0,0,3,3,17,20,511,71,32,17,640,33,10,44,680,186,13,881,90,13,6,4,110,0,0,0,108,10,0,119,134,17,0,0,151,7,0,7,155,14,0,173,5,3,0,0,5,0,0,0,5,0,0,5,0,0,0,3,4,0,0,0,4,0,0,5,227,35,9,8,273,9,0,9,279,24,0,303,6,0,0,0,6,8,0,8,17,0,0,17,7,0,0,0,4,0,0,0,4,0,0,7,9,0,0,0,9,8,0,12,18,0,0,23,230,30,9,5,276,17,0,20,301,27,0,327,43,21,7,3
SOSR531,4790,149,7,4945,11,7,0,0,18,6,0,6,22,11,0,32,45,5,6,0,57,10,0,14,69,3,0,72,59,12,4,0,77,10,0,12,94,12,0,100,4138,449,148,102,4834,38,10,51,4880,157,7,5046,984,118,52,43,1198,29,3,34,1229,198,0,1423,8,0,0,4,9,0,0,0,9,3,33,43,5126,569,195,142,6043,70,15,78,6125,355,36,6518,1134,125,27,5,1290,5,0,7,1298,44,0,1339,1671,201,46,19,1941,9,0,8,1948,63,0,2017,57,12,23,0,88,0,0,0,89,0,0,91,10,0,0,29,40,0,0,0,40,3,7,46,2876,337,100,52,3355,18,0,16,3372,111,7,3495,14,3,0,0,17,4,0,4,20,4,0,26,28,0,0,0,25,6,0,6,32,0,0,34,38,7,0,0,42,9,0,8,54,5,0,63,2909,343,98,52,3402,21,6,27,3432,119,7,3556,469,73,23,18
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
