SOSR_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
SOSR513,0,0,13,99,40,31,41,31,7,271,0,0,0,3,0,3,4,0,0,22,4,3,0,29,4,4,6,0,0,59,9,51,17,383,73,34,18,10,4,593,4,29,22,103,31,14,6,0,0,211,0,0,0,10,7,5,0,0,0,22,0,0,0,6,0,0,0,0,0,6,3,3,13,178,23,17,17,9,3,270,0,0,6,54,12,11,13,15,4,102,0,3,0,25,18,0,0,3,0,48,0,0,3,38,3,0,0,0,0,48,0,0,0,4,0,0,0,0,0,8,0,4,12,72,24,18,3,6,3,137,0,0,0,0,0,3,8,0,0,14,0,3,7,38,12,9,4,0,0,73,0,7,0,16,14,8,0,7,0,49,0,0,5,34,4,0,0,0,0,43,0,0,13,35,14,18,30,16,7,127,19,168,206,1022,513,483,197,40,7,2651,0,0,0,9,5,8,12,0,0,31
SOSR514,0,0,8,73,19,19,72,30,10,228,0,0,0,4,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,9,0,4,3,59,10,10,11,14,0,116,0,11,3,28,6,0,0,4,0,56,0,4,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,4,10,40,15,10,26,10,0,127,0,0,0,74,5,0,18,21,14,129,0,7,3,22,5,0,0,0,0,34,0,0,0,32,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,3,0,0,0,12,5,9,4,5,0,35,0,0,0,0,0,5,0,4,0,3,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,6,0,0,0,6,0,0,0,5,0,0,0,0,0,8,0,0,4,11,4,11,34,19,4,86,11,34,51,218,137,137,93,26,6,715,0,0,0,0,0,0,0,0,0,0
SOSR515,0,0,8,87,54,50,89,68,19,366,0,0,0,6,0,3,6,6,4,17,0,0,6,21,4,3,0,0,0,36,0,23,9,198,28,37,19,17,3,341,0,20,14,87,38,11,9,0,0,181,0,0,3,10,3,0,0,0,0,19,0,0,0,5,0,0,0,0,0,0,0,16,11,123,32,42,30,20,8,287,0,4,3,41,9,29,79,95,56,323,0,6,4,23,6,0,3,0,0,50,0,3,3,34,0,0,0,0,0,47,0,0,0,3,0,4,6,0,0,13,5,3,11,89,35,34,24,8,0,205,0,0,0,0,0,10,6,6,0,19,0,3,0,13,6,8,5,0,0,33,0,0,10,65,41,15,12,0,4,156,0,5,0,18,0,0,0,0,0,26,0,3,13,33,25,34,111,72,23,310,39,127,199,883,558,575,365,113,21,2862,0,0,0,0,3,3,8,10,7,27
SOSR521,0,0,4,37,19,15,52,39,9,165,0,0,0,0,3,0,0,0,0,7,0,0,0,10,3,5,0,0,0,15,3,6,6,67,14,15,3,10,0,128,0,0,0,21,5,7,3,0,0,45,0,0,0,6,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,3,0,9,4,59,12,16,12,13,0,115,0,0,0,12,3,11,19,22,20,91,0,0,0,8,5,0,5,0,0,14,0,0,0,10,5,0,0,0,0,14,0,0,0,4,0,0,0,0,0,4,0,0,9,19,4,9,7,6,0,53,0,0,0,0,0,0,3,0,0,11,0,0,0,4,0,3,0,0,0,8,0,0,0,0,0,3,4,0,0,10,0,0,0,4,0,0,0,0,0,6,0,0,0,15,11,19,40,26,6,123,4,20,48,283,226,267,165,40,5,1059,0,0,0,0,0,0,5,0,0,5
SOSR522,0,0,5,10,3,13,18,9,5,68,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,3,0,0,4,0,4,8,39,4,8,7,0,6,70,0,4,0,8,3,6,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,27,9,12,5,4,4,57,0,0,0,8,0,5,18,3,6,29,0,0,0,3,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,8,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,6,0,0,0,10,0,0,0,0,0,13,0,0,3,6,6,9,26,17,5,73,0,13,43,125,94,126,92,14,4,504,0,0,0,0,0,0,0,0,0,0
SOSR531,4,7,41,189,123,142,213,92,3,823,0,0,0,5,0,4,12,10,7,40,0,5,9,37,11,11,8,0,0,76,0,3,15,139,49,72,56,49,8,390,3,15,10,77,35,12,22,6,3,193,0,0,3,46,8,8,4,0,0,70,0,0,0,23,11,5,0,0,0,35,0,9,20,198,75,74,81,51,16,511,4,0,12,102,24,86,253,156,59,690,0,0,7,48,16,14,7,3,0,94,0,0,10,34,6,7,0,0,0,58,0,0,0,10,8,5,0,0,0,27,5,8,24,124,66,69,50,12,3,356,0,0,0,3,3,9,23,16,0,52,0,0,6,22,16,17,12,0,5,72,0,0,3,16,13,21,18,4,0,81,0,0,0,12,0,0,0,0,0,18,0,3,12,81,72,104,232,127,24,657,12,100,204,1138,937,1148,616,142,17,4309,0,0,0,5,0,9,5,8,6,29
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,5,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,4,21,3,6,12,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,14,0,0,3,3,0,30,0,0,0,12,3,3,0,0,0,15,0,0,0,6,4,4,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,4,13,0,5,3,7,0,31,0,0,3,21,4,0,5,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,6,0,5,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,8,4,0,3,0,0,21,3,7,18,88,45,57,30,9,0,257,0,0,0,0,0,0,0,0,0,0
SOSR603,6,15,14,134,70,122,176,188,90,818,0,6,9,20,16,44,77,125,57,351,8,34,85,328,47,39,31,10,4,591,35,176,395,2969,153,81,62,44,28,3943,0,11,53,168,38,13,18,10,5,324,0,36,35,130,26,12,10,8,4,255,0,10,12,23,9,10,3,4,0,65,0,13,25,74,38,54,57,46,12,314,0,3,3,61,24,49,97,120,80,450,4,16,37,113,50,16,29,3,8,277,4,33,36,300,48,35,14,8,0,481,0,0,3,25,14,11,9,3,0,69,0,17,147,388,81,79,73,22,12,823,0,0,0,0,7,7,10,0,5,31,0,0,10,26,3,0,3,0,0,44,0,4,15,55,17,16,7,5,4,121,11,131,490,3364,31,13,7,0,0,4050,0,9,9,55,39,47,199,177,65,606,13,73,96,434,318,302,245,94,31,1604,0,0,0,0,3,3,0,0,0,10
SOSR611,0,0,8,31,23,26,58,47,24,205,0,0,3,0,0,0,3,13,4,31,0,4,23,61,5,6,6,0,0,104,11,60,124,934,51,42,17,11,0,1255,0,0,19,37,7,3,9,3,0,82,0,82,65,51,11,9,3,0,0,235,0,0,0,5,3,0,0,0,0,9,0,3,4,27,13,9,19,18,10,104,0,0,0,15,0,17,33,35,41,143,0,3,5,18,10,10,3,0,0,51,4,7,10,72,13,6,8,0,0,114,0,3,0,0,0,6,0,0,0,11,11,28,77,148,29,21,20,8,0,339,0,0,0,0,0,6,0,7,0,9,0,0,0,3,0,0,0,3,0,14,0,24,55,76,37,3,0,0,0,202,7,99,242,1003,22,9,0,0,6,1384,0,0,0,25,16,18,89,126,32,312,4,27,39,150,138,129,75,45,6,607,0,0,0,5,0,0,0,0,0,9
SOSR612,0,0,3,10,11,24,32,27,13,116,0,0,0,0,3,0,4,7,0,13,0,11,0,25,0,7,5,0,0,47,0,19,29,253,29,18,9,5,3,369,0,0,0,18,6,7,7,0,0,40,0,0,0,8,0,0,0,0,0,15,0,7,0,11,0,0,0,0,0,17,0,0,4,3,3,4,14,10,0,34,0,0,0,8,0,8,0,11,4,42,0,0,0,11,6,0,0,0,0,18,0,0,6,26,0,0,0,0,0,33,0,4,0,5,0,4,0,0,0,13,0,5,3,32,12,3,4,0,0,65,0,0,0,0,0,0,5,0,3,9,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,9,0,4,24,217,0,0,0,0,0,247,0,0,0,10,3,14,46,30,13,125,0,3,17,76,76,78,63,28,12,353,0,0,0,0,0,0,0,0,0,4
SOSR613,0,0,0,0,0,4,9,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,3,0,25,0,0,0,0,0,31,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,0,13,0,0,0,0,0,5,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,6,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,23,0,0,0,0,0,24,0,0,0,0,3,6,40,45,21,114,0,7,6,24,15,15,20,6,6,98,0,0,0,0,0,0,0,0,0,0
SOSR614,0,0,3,3,5,13,14,11,10,57,0,0,0,0,0,0,3,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,24,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,3,0,20,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,6,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,24,0,0,0,3,0,12,22,19,4,57,3,9,3,36,24,45,42,21,4,180,0,0,0,0,0,0,0,0,0,0
SOSR615,0,0,3,19,17,26,68,57,20,212,0,0,0,0,0,7,3,5,3,19,0,4,0,19,3,3,6,0,0,40,4,8,17,174,20,7,7,12,3,250,0,3,3,20,4,4,8,0,0,46,0,0,0,16,3,0,0,0,0,23,0,4,0,6,0,0,0,0,0,13,0,0,0,9,14,15,14,10,10,61,0,0,0,12,3,7,20,19,10,71,0,0,0,13,3,0,4,0,0,35,0,3,5,28,0,4,0,0,0,42,0,0,0,4,0,4,0,0,0,10,0,0,0,27,13,9,11,4,0,65,0,0,0,0,0,3,8,7,4,17,0,0,0,0,0,5,5,4,0,9,0,0,0,0,0,0,0,0,0,5,0,5,27,207,0,0,0,0,0,239,0,0,4,20,29,31,122,106,33,334,4,19,26,162,133,166,162,68,11,751,0,0,0,0,0,0,0,0,0,0
SOSR621,0,0,0,13,15,12,18,19,9,77,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,5,31,4,4,0,0,4,49,0,0,0,5,6,0,0,5,0,18,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,3,8,3,0,19,0,0,0,3,4,3,16,7,3,31,0,0,0,0,5,4,0,0,0,12,0,0,0,8,3,4,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,5,3,0,0,25,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,0,0,0,0,0,80,0,0,0,7,4,11,38,40,6,106,0,0,8,37,53,75,72,17,4,263,0,0,0,0,0,0,0,0,0,4
SOSR622,0,0,0,6,0,10,12,13,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,5,0,3,3,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,5,4,4,0,11,0,0,0,0,0,0,0,0,0,4,0,4,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,9,0,0,0,0,0,14,0,0,0,0,6,3,16,10,4,39,0,0,3,14,9,36,29,7,3,108,0,0,0,0,0,0,0,0,0,0
SOSR631,0,3,7,78,53,134,145,77,17,516,3,0,0,3,0,10,11,7,0,34,0,0,0,23,3,10,9,0,0,48,0,7,21,113,9,18,10,15,3,196,0,8,0,25,11,12,15,5,0,75,0,0,8,7,0,3,0,0,0,20,0,0,0,4,0,0,0,0,0,8,0,0,8,29,31,34,39,15,3,162,0,0,0,17,7,18,41,19,3,109,0,8,0,31,22,7,4,3,0,71,0,3,10,27,7,12,0,0,0,63,0,0,0,0,3,0,0,0,0,8,0,3,3,24,22,23,15,0,0,97,0,0,0,0,0,8,13,6,4,32,0,0,0,0,3,0,5,0,0,8,0,0,0,4,0,0,0,0,0,5,0,6,20,128,0,0,0,0,0,155,0,10,12,39,44,79,146,97,8,428,12,39,57,289,316,389,270,103,13,1488,0,0,0,0,0,0,0,0,0,0
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,4,0,0,0,3,4,10,0,0,0,25,0,0,0,0,0,0,0,0,0,0
SOSR703,7,14,18,152,75,66,80,82,28,511,3,54,98,260,129,165,233,152,24,1134,0,16,13,132,29,39,37,8,4,271,45,275,335,2432,354,186,118,35,9,3788,18,83,118,549,224,117,89,27,8,1230,0,3,7,58,12,6,0,4,0,87,0,0,5,4,8,0,0,0,0,15,3,34,35,381,36,27,28,16,3,565,0,9,8,124,33,34,57,56,25,338,4,13,7,78,35,14,3,3,0,164,9,15,15,199,30,10,5,0,0,283,0,0,0,27,4,4,0,0,0,41,3,29,38,216,87,87,83,51,8,609,0,0,0,4,6,3,8,0,0,17,0,5,0,44,7,7,4,0,5,70,0,4,13,76,39,18,13,10,0,164,0,69,396,1995,42,27,11,0,0,2538,0,3,0,56,14,25,54,33,5,188,10,96,137,626,414,451,276,82,9,2104,0,0,0,7,0,0,0,0,0,5
SOSR712,0,0,3,38,14,20,14,11,5,103,0,0,0,9,0,0,0,6,0,14,0,5,3,19,3,4,0,0,0,36,18,74,48,666,71,47,27,0,0,961,0,3,6,47,3,5,3,0,0,65,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,41,10,13,10,0,0,74,0,0,4,23,3,9,9,13,3,64,0,3,0,17,11,4,0,0,0,36,0,0,0,33,3,0,0,0,0,42,0,0,0,0,4,4,0,0,0,6,0,0,0,20,5,9,0,0,0,41,0,0,0,0,0,0,0,0,0,4,0,0,0,10,6,4,0,0,0,16,0,0,0,7,0,4,0,0,0,15,0,6,18,177,7,3,0,0,0,213,0,0,0,11,5,12,9,9,3,43,10,76,87,298,110,141,73,19,0,819,0,0,0,0,0,0,0,0,0,0
SOSR714,0,0,0,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,84,4,5,5,0,0,111,0,0,0,4,0,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,0,0,0,13,0,0,0,8,0,0,0,4,0,13,0,0,0,3,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,16,129,0,0,0,0,0,156,0,0,0,0,4,0,3,0,4,6,0,0,5,37,12,20,15,3,0,96,0,0,0,0,0,0,0,0,0,0
SOSR715,0,0,0,4,0,8,4,0,0,17,0,0,0,3,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,8,4,3,4,66,4,0,0,0,0,90,0,0,0,11,4,6,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,9,0,0,0,6,3,4,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,28,5,0,0,0,0,36,0,0,0,3,0,0,0,0,0,9,0,15,7,74,36,40,16,3,0,192,0,0,0,0,0,0,0,0,0,3
SOSR721,0,0,0,6,0,3,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,3,24,3,0,0,0,0,30,0,0,0,14,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,3,0,0,3,0,0,9,0,0,0,11,0,0,0,0,0,10,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,5,23,0,0,0,0,0,25,0,0,0,3,0,0,3,0,0,13,0,3,3,50,28,40,11,0,0,135,0,0,0,0,0,0,0,0,0,0
SOSR722,0,0,0,3,7,3,5,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,19,0,6,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,6,0,0,0,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,7,0,0,0,0,0,7,0,0,0,18,21,28,25,6,0,98,0,0,0,0,0,0,0,0,0,0
SOSR731,0,0,10,40,12,21,34,12,0,126,0,0,0,4,5,0,10,0,0,20,0,0,0,0,0,0,3,0,0,0,0,9,0,21,0,5,9,5,0,49,0,5,6,28,15,3,4,0,0,76,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,5,11,7,0,63,0,0,0,14,3,9,8,6,0,44,0,0,0,8,0,0,0,0,0,7,0,6,3,5,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,9,7,0,0,55,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,0,0,4,0,14,0,0,0,12,0,0,0,0,0,11,0,0,0,10,12,8,24,19,6,71,3,10,22,119,116,139,81,28,0,513,0,0,0,0,0,0,0,0,0,6
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,12,5,3,3,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,14,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,15,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,13,0,3,0,21,11,17,11,3,0,77,0,0,0,0,0,0,0,0,0,0
