SAL_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SAL13548,..,0,49,95,120,195,158,69,27,714,..,7,43,18,22,27,10,7,0,131,..,0,0,7,15,8,3,0,0,35,249,..,..,..,..,..,..,..,..,249,..,87,..,..,..,..,..,..,..,87,..,95,52,17,15,3,0,0,0,180,..,9,4,0,0,0,6,5,0,29,..,0,7,0,3,0,0,0,0,7,..,7,10,0,0,4,0,3,0,35,..,5,11,20,15,40,23,16,7,146,0,6,5,0,3,4,0,0,4,20,255,208,182,165,191,283,210,102,35,1637,..,0,66,89,149,209,144,47,13,718,..,16,44,25,21,25,12,3,0,138,..,3,21,32,38,21,6,7,5,124,247,..,..,..,..,..,..,..,..,247,..,86,..,..,..,..,..,..,..,86,..,71,25,0,5,0,3,0,0,110,..,6,3,4,0,9,4,4,9,36,..,3,0,0,0,0,0,0,0,4
SAL13549,..,0,7,3,4,6,22,15,6,74,..,0,6,0,0,0,0,4,0,16,..,0,0,0,0,0,0,0,0,0,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,10,..,0,7,6,0,5,10,3,3,35,0,0,0,0,0,0,0,0,0,0,4,13,25,17,9,12,30,30,9,144,..,0,9,4,6,10,22,19,3,70,..,7,5,0,0,0,0,3,0,21,..,0,0,0,0,0,0,0,0,7,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,5,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0
SAL13550,..,0,9,42,49,59,72,24,11,267,..,0,17,10,10,9,0,0,0,50,..,0,0,0,3,5,0,6,0,8,107,..,..,..,..,..,..,..,..,107,..,24,..,..,..,..,..,..,..,24,..,26,17,4,4,0,3,0,0,49,..,4,0,3,0,0,0,5,0,14,..,0,5,0,0,0,0,0,0,3,..,0,4,0,0,0,0,0,0,10,..,0,6,7,11,16,11,7,4,62,5,0,4,0,3,0,0,0,0,10,106,51,50,72,80,90,91,36,15,599,..,0,14,55,53,70,54,20,3,274,..,4,22,11,4,10,3,0,0,54,..,0,5,7,5,8,0,0,3,28,77,..,..,..,..,..,..,..,..,77,..,37,..,..,..,..,..,..,..,37,..,17,7,0,0,3,0,0,0,34,..,0,0,3,0,0,3,3,3,11,..,3,0,0,0,0,0,0,0,8
SAL13551,..,0,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,0,19,..,0,0,0,0,4,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL13552,..,0,0,0,10,8,5,0,0,34,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,7,..,..,..,..,..,..,..,..,7,..,3,..,..,..,..,..,..,..,3,..,4,0,5,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,8,5,4,8,10,17,6,0,69,..,0,0,0,4,12,7,3,0,33,..,0,0,0,0,4,0,0,0,9,..,0,3,0,0,0,0,0,0,6,9,..,..,..,..,..,..,..,..,9,..,8,..,..,..,..,..,..,..,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0
SAL13553,..,0,0,3,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,4,..,..,..,..,..,..,..,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,5,0,0,0,19,..,0,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL13554,..,0,13,24,28,53,74,65,21,289,..,6,10,8,11,9,9,3,0,60,..,0,0,6,6,10,0,0,0,18,118,..,..,..,..,..,..,..,..,118,..,29,..,..,..,..,..,..,..,29,..,21,12,6,0,0,4,0,0,50,..,3,4,0,0,3,0,3,0,11,..,5,7,0,3,0,0,0,0,22,..,3,8,5,0,7,4,4,0,30,..,0,6,7,19,38,38,32,7,154,0,4,0,0,4,0,3,0,0,12,118,70,60,64,73,127,136,106,26,788,..,0,25,41,36,55,87,46,14,303,..,7,12,7,13,13,5,0,0,66,..,0,4,17,23,9,5,0,7,66,86,..,..,..,..,..,..,..,..,86,..,20,..,..,..,..,..,..,..,20,..,13,12,0,0,5,0,0,0,30,..,3,0,0,0,6,0,8,0,18,..,4,4,0,0,0,0,0,0,8
SAL13555,..,0,31,81,82,97,180,96,33,606,..,5,43,23,26,29,21,4,0,153,..,0,0,5,9,4,7,0,0,29,231,..,..,..,..,..,..,..,..,231,..,42,..,..,..,..,..,..,..,42,..,40,14,11,6,3,0,0,0,81,..,4,7,0,4,6,3,5,0,20,..,3,5,0,0,4,0,0,0,15,..,8,3,5,12,10,11,11,0,43,..,3,9,14,23,36,73,69,21,250,0,3,5,0,6,0,5,5,0,22,231,107,107,145,165,193,303,189,55,1496,..,0,52,84,76,119,171,94,18,612,..,13,49,24,21,33,17,8,0,163,..,0,13,24,24,11,0,9,3,86,204,..,..,..,..,..,..,..,..,204,..,36,..,..,..,..,..,..,..,36,..,37,4,4,3,4,0,0,0,52,..,0,0,0,0,6,7,4,3,28,..,6,6,0,0,0,0,0,0,11
SAL13556,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,5,..,..,..,..,..,..,..,..,5,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,..,0,0,0,0,0,6,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL13557,..,8,106,110,70,80,117,102,32,628,..,46,119,41,21,20,6,0,0,255,..,0,12,10,10,12,8,0,0,48,351,..,..,..,..,..,..,..,..,351,..,56,..,..,..,..,..,..,..,56,..,66,41,23,11,8,0,0,0,154,..,27,18,4,8,11,5,7,0,73,..,14,24,5,3,0,0,0,0,49,..,117,78,27,10,15,11,0,0,262,..,21,55,39,32,47,40,34,9,267,0,14,11,8,0,0,0,0,0,40,351,364,468,263,168,193,192,149,37,2187,..,11,138,87,81,87,132,86,14,636,..,61,124,34,23,18,3,0,0,268,..,10,35,42,32,23,21,11,9,187,310,..,..,..,..,..,..,..,..,310,..,55,..,..,..,..,..,..,..,55,..,46,28,7,6,5,0,0,0,90,..,23,4,9,3,7,6,6,3,52,..,17,7,0,0,0,0,0,0,27
SAL13558,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL13559,..,4,120,223,238,214,131,50,7,979,..,22,68,28,26,22,8,0,0,174,..,0,3,8,7,0,3,0,0,24,522,..,..,..,..,..,..,..,..,522,..,106,..,..,..,..,..,..,..,106,..,161,71,12,18,4,0,0,0,272,..,13,6,0,5,4,9,6,0,39,..,7,3,0,0,3,0,0,0,25,..,0,5,3,4,4,0,0,0,15,..,3,11,6,4,18,11,10,5,66,3,14,5,3,3,5,0,0,0,30,530,320,290,285,309,272,158,66,13,2244,..,0,167,216,256,194,112,20,4,979,..,18,68,36,28,26,6,6,0,182,..,6,11,23,18,15,10,3,0,88,476,..,..,..,..,..,..,..,..,476,..,148,..,..,..,..,..,..,..,148,..,88,34,10,0,5,0,0,0,140,..,8,0,0,0,6,9,8,10,39,..,4,7,0,0,0,0,0,0,12
SAL13560,..,0,0,0,0,3,6,0,0,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,0,0,19,..,0,0,0,0,4,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,0,4,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL13561,..,0,5,7,7,6,14,12,5,61,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3,24,..,..,..,..,..,..,..,..,24,..,5,..,..,..,..,..,..,..,5,..,8,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,4,0,0,7,0,3,0,18,0,0,0,0,0,0,0,0,0,3,24,17,15,9,9,20,25,14,3,132,..,0,7,6,10,11,17,3,0,59,..,0,0,0,0,0,0,0,0,3,..,0,8,6,6,0,0,0,0,9,13,..,..,..,..,..,..,..,..,13,..,6,..,..,..,..,..,..,..,6,..,9,5,0,0,0,0,0,0,12,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0
SAL13562,..,0,67,144,79,56,44,13,4,421,..,3,38,12,9,6,6,0,0,70,..,0,0,0,5,7,0,0,0,18,232,..,..,..,..,..,..,..,..,232,..,48,..,..,..,..,..,..,..,48,..,41,39,10,0,3,0,0,0,97,..,11,8,6,6,6,4,5,0,38,..,0,7,0,0,0,0,0,0,16,..,3,32,18,9,4,4,0,0,66,..,3,30,23,18,20,11,6,0,113,3,0,4,5,0,0,0,0,0,16,240,109,231,219,137,100,70,24,6,1128,..,6,94,142,85,56,27,10,0,418,..,4,35,12,12,3,4,0,0,73,..,0,3,23,26,11,3,0,0,73,209,..,..,..,..,..,..,..,..,209,..,60,..,..,..,..,..,..,..,60,..,31,27,5,0,4,0,0,0,68,..,4,9,8,0,4,7,0,0,33,..,0,0,0,0,0,0,0,0,6
SAL13563,..,0,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,17,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL13564,..,0,86,113,134,172,131,90,24,747,..,29,88,52,51,28,12,4,0,272,..,0,5,13,22,11,11,0,0,56,441,..,..,..,..,..,..,..,..,441,..,84,..,..,..,..,..,..,..,84,..,115,51,21,14,10,0,0,0,213,..,13,9,4,16,5,4,9,0,51,..,14,11,9,5,4,5,0,0,37,..,21,35,5,5,8,9,0,0,74,..,13,51,49,48,74,53,29,13,330,13,10,11,10,4,0,3,5,0,51,459,298,341,268,299,318,226,131,40,2377,..,6,97,139,159,169,119,71,9,762,..,53,95,48,54,22,6,4,0,279,..,12,45,53,61,20,12,14,4,221,436,..,..,..,..,..,..,..,..,436,..,80,..,..,..,..,..,..,..,80,..,86,31,10,5,4,0,0,0,136,..,13,8,3,7,10,6,7,5,51,..,8,0,5,6,8,0,0,0,27
SAL13565,..,0,125,165,145,128,105,55,7,734,..,36,104,51,29,19,6,0,0,239,..,0,7,13,14,10,0,0,0,46,571,..,..,..,..,..,..,..,..,571,..,86,..,..,..,..,..,..,..,86,..,110,62,6,9,5,0,0,0,199,..,7,12,0,7,8,3,0,0,39,..,9,19,0,0,0,0,0,0,27,..,14,21,5,13,8,0,0,0,64,..,15,46,37,42,43,22,16,4,228,0,4,5,6,6,4,6,0,0,25,575,290,395,286,259,217,145,77,16,2264,..,4,163,185,148,126,95,30,6,753,..,51,112,38,34,16,0,4,0,249,..,0,54,53,44,27,12,10,6,209,541,..,..,..,..,..,..,..,..,541,..,80,..,..,..,..,..,..,..,80,..,70,22,4,4,6,5,0,0,106,..,12,3,0,5,11,4,0,0,42,..,3,3,0,6,3,0,0,0,20
SAL13566,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,4,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL13567,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL13568,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL13569,..,0,8,49,54,46,60,40,3,265,..,4,10,13,10,13,10,0,0,60,..,0,0,0,0,0,0,0,0,4,127,..,..,..,..,..,..,..,..,127,..,32,..,..,..,..,..,..,..,32,..,27,11,4,0,0,0,0,0,36,..,0,0,0,0,0,0,0,0,3,..,0,6,4,3,0,0,0,0,13,..,0,0,0,0,0,3,0,0,5,..,0,0,3,6,18,24,4,3,58,3,0,0,0,0,0,0,0,0,11,126,68,36,75,78,84,90,49,8,620,..,0,12,47,64,60,56,29,0,269,..,7,4,12,12,13,8,3,0,57,..,0,5,9,14,9,0,0,0,34,96,..,..,..,..,..,..,..,..,96,..,23,..,..,..,..,..,..,..,23,..,22,5,0,0,7,0,0,0,29,..,3,0,0,0,0,5,0,0,7,..,4,4,0,0,0,0,0,0,7
SAL13570,..,0,0,0,3,5,0,0,0,14,..,0,0,0,3,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,9,..,..,..,..,..,..,..,..,9,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,3,3,10,6,0,0,43,..,0,0,0,3,3,0,0,0,11,..,0,0,0,0,4,0,0,0,6,..,0,0,0,0,0,0,0,0,0,8,..,..,..,..,..,..,..,..,8,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL13571,..,0,0,0,6,3,6,0,0,18,..,0,0,3,4,0,3,0,0,12,..,0,0,0,0,0,0,0,0,0,5,..,..,..,..,..,..,..,..,5,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,4,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,5,5,12,6,0,6,3,0,45,..,0,0,5,0,9,4,3,0,17,..,0,4,0,0,3,0,0,0,5,..,0,0,0,0,0,0,0,0,0,9,..,..,..,..,..,..,..,..,9,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,5,6,0,0,0,0,0,10
SAL13572,..,0,3,3,0,4,10,3,0,24,..,0,3,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,8,..,..,..,..,..,..,..,..,8,..,0,..,..,..,..,..,..,..,0,..,0,4,3,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,0,14,10,3,5,9,4,0,60,..,0,6,4,0,4,9,0,0,23,..,0,4,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,3,6,..,..,..,..,..,..,..,..,6,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL13573,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL13574,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL13575,..,4,248,408,477,474,350,192,67,2212,..,10,61,38,43,30,21,4,0,205,..,4,4,14,25,40,14,13,8,117,1210,..,..,..,..,..,..,..,..,1210,..,448,..,..,..,..,..,..,..,448,..,364,382,135,86,39,3,0,0,1004,..,41,44,21,38,42,27,12,6,233,..,9,30,23,11,6,0,4,0,83,..,12,17,21,19,28,12,9,0,117,..,14,30,37,74,100,75,50,26,410,8,6,12,12,5,7,4,0,4,59,1219,908,822,708,773,756,514,296,107,6101,..,23,405,463,476,415,286,144,22,2228,..,17,57,47,41,31,16,0,0,207,..,10,62,124,147,109,73,56,43,617,1244,..,..,..,..,..,..,..,..,1244,..,439,..,..,..,..,..,..,..,439,..,218,238,68,38,34,6,5,0,602,..,35,31,10,30,34,65,54,24,287,..,11,24,8,4,3,0,0,0,63
